a_	国
(厶廾頁,IsZcWy,biàn_fàn,CJK-A)	䪻
(屮凵頁,McJkWy,zhuō,CJK-A)	䪼
(口{横类}{折类}頁,KkDiAeWy,hào,CJK-A)	䪽
(頁{全字头}彡,WyHrFs,zhěn,CJK-A)	䪾
({撇类}囗乂頁,TpAkEiWy,shěng,CJK-A)	䪿
({即字旁}頁,PgWy,gěn,CJK-A)	䫀
(自頁,ViWy,bì,CJK-A)	䫁
(夕夕頁,VxVxWy,duǒ,CJK-A)	䫂
(辰頁,ScWy,chún_zhèn,CJK-A)	䫃
(丷口儿頁,NbKkReWy,chuà,CJK-A)	䫄
(宀木頁,GgYmWy,sàn,CJK-A)	䫅
(戊{折类}頁,MuAeWy,chéng,CJK-A)	䫆
(彡冂二頁,FsJkNeWy,rán,CJK-A)	䫇
(山亽{折类}頁,UsZiAeWy,chěn_zèn_cén,CJK-A)	䫈
(豸頁,HiWy,mào,CJK-A)	䫉
(不口頁,RbKkWy,péi,CJK-A)	䫊
(禾女頁,BhWnWy,wēi_tuí,CJK-A)	䫋
(白{撇类}十頁,JbTpPsWy,pǐ,CJK-A)	䫌
(非頁,LfWy,fǔ,CJK-A)	䫍
(又又又頁,TyTyTyWy,zhuō,CJK-A)	䫎
({其字头无横}{共字底}頁,FgNbWy,qī,CJK-A)	䫏
(木木頁,YmYmWy,lín,CJK-A)	䫐
(大可頁,IdEkWy,yī_qī,CJK-A)	䫑
(氏日頁,ZsUrWy,mén,CJK-A)	䫒
(立口頁,XlKkWy,wú,CJK-A)	䫓
(丰刀大頁,JfNdIdWy,qì_qiè_yà_kuí,CJK-A)	䫔
({立无横}冖巾頁,XlGgAjWy,dié,CJK-A)	䫕
({其字头无横}{共字底}{折类}頁,FgNbAeWy,chěn_shèn,CJK-A)	䫖
({叚字旁无二}二{叚右角}頁,FsNeVkWy,xiá,CJK-A)	䫗
(日勹亾頁,UrAkNwWy,hé_jié_kě,CJK-A)	䫘
(十艹木頁,PsZcYmWy,sǎng,CJK-A)	䫙
(咼頁,UgWy,guā,CJK-A)	䫚
(亻{候右角}矢頁,HrVkGsWy,hóu,CJK-A)	䫛
(山幺幺頁,UsDyDyWy,āo,CJK-A)	䫜
(禾日頁,BhUrWy,fǔ,CJK-A)	䫝
({美字头}灬頁,SyRhWy,qiāo_fén,CJK-A)	䫞
(口貝頁,KkVbWy,hùn,CJK-A)	䫟
(彡不口頁,FsRbKkWy,pī,CJK-A)	䫠
(䒑{聿三}{兼无䒑无彐}頁,NbWjRhWy,yán_qiàn_qiān_jiàn,CJK-A)	䫡
({反字框}虎頁,UcShWy,sī,CJK-A)	䫢
(爫幺大頁,IaDyIdWy,xí,CJK-A)	䫣
(冖日六頁,GgUrMlWy,míng,CJK-A)	䫤
(鬼頁,EgWy,kuǐ,CJK-A)	䫥
(土厶皿頁,EtIsHmWy,gé_kài,CJK-A)	䫦
(白大十頁,JbIdPsWy,0,CJK-A)	䫧
(敖頁,QaWy,ào,CJK-A)	䫨
(厶厶厶頁,IsIsIsWy,sǎn,CJK-A)	䫩
({大框}乂乂頁,IdEiEiWy,shuǎng,CJK-A)	䫪
(口十口頁,KkPsKkWy,lóu,CJK-A)	䫫
(旡旡日頁,CuCuUrWy,zhěn_qǐn,CJK-A)	䫬
({贵字头}貝頁,VcVbWy,huì,CJK-A)	䫭
(彐工口頁,WjLgKkWy,chán,CJK-A)	䫮
(方大可頁,MfIdEkWy,0,CJK-A)	䫯
(頁米夕㐄,WyFmVxLk,lìn,CJK-A)	䫰
(而而頁,KeKeWy,ná,CJK-A)	䫱
(戊{横类}口頁,MuDiKkWy,hàn_kǎn,CJK-A)	䫲
(罒勹虫頁,BsAkVcWy,dú,CJK-A)	䫳
(木木示頁,YmYmLsWy,jìn,CJK-A)	䫴
(自穴方頁,ViAxMfWy,mián,CJK-A)	䫵
(木乂乂頁,YmEiEiWy,fán,CJK-A)	䫶
({噩字框}吅吅頁,RwPxPxWy,è,CJK-A)	䫷
(風刀,IfNd,chāo,CJK-A)	䫸
(風工,IfLg,hóng,CJK-A)	䫹
({左字框}厶風,PsIsIf,hóng,CJK-A)	䫺
(風日,IfUr,yù,CJK-A)	䫻
(風{候右角}人,IfVkHr,xuè,CJK-A)	䫼
(風毛,IfQm,pāo,CJK-A)	䫽
(風心{撇类},IfLxTp,bī_bì,CJK-A)	䫾
(風刀口,IfNdKk,chāo,CJK-A)	䫿
(風幺力,IfDyCl,yǒu,CJK-A)	䬀
(風宀匕,IfGgWb,yí,CJK-A)	䬁
(風戉,IfMu,xuè,CJK-A)	䬂
(風立,IfXl,sà,CJK-A)	䬃
(風戊{横类},IfMuDi,xù,CJK-A)	䬄
(風力力力,IfClClCl,lì_liè_xié,CJK-A)	䬅
(風禾刂,IfBhNd,lì,CJK-A)	䬆
(丷口儿風,NbKkReIf,yuàn,CJK-A)	䬇
(風丷口儿,IfNbKkRe,duì,CJK-A)	䬈
(風土{亦字底},IfEtRh,huò,CJK-A)	䬉
(風大人人,IfIdHrHr,shà,CJK-A)	䬊
(風土八夂,IfEtNbJi,léng,CJK-A)	䬋
(虎風,ShIf,pōu,CJK-A)	䬌
(風勹{横两撇}心,IfAkFsLx,hū,CJK-A)	䬍
(風戈口{横类},IfAgKkDi,guó_xù,CJK-A)	䬎
(風立口,IfXlKk,bù_fǒu,CJK-A)	䬏
(風禾女,IfBhWn,ruí,CJK-A)	䬐
(風田{青字底},IfCtFy,wèi_yù,CJK-A)	䬑
(風宀火又,IfGgRhTy,sōu_xiāo,CJK-A)	䬒
(風音,IfWy,àn,CJK-A)	䬓
(風亼{青字底}刂,IfZiFyNd,yú,CJK-A)	䬔
(風風,IfIf,xiāng_shǎng,CJK-A)	䬕
(風白王,IfJbRw,héng,CJK-A)	䬖
(日{横类}勹風,UrDiAkIf,yáng,CJK-A)	䬗
(風高,IfQg,xiāo,CJK-A)	䬘
(風爫缶,IfIaTf,yáo,CJK-A)	䬙
(風馬,IfNm,0,CJK-A)	䬚
(風日龷十,IfUrPnPs,bì,CJK-A)	䬛
(風亠乂禸,IfLwEiAr,0,CJK-A)	䬜
(風黄,IfEh,héng,CJK-A)	䬝
(風士{折类}寸,IfJsAeOc,táo,CJK-A)	䬞
(風{留字头}金刂,IfRmWjNd,liú_liǔ,CJK-A)	䬟
({雨头}飞{飛字底},XvFfGf,0,CJK-A)	䬠
(耂日飞{飛字底},RlUrFfGf,zhù,CJK-A)	䬡
(飠刀,HsNd,0,CJK-A)	䬢
(飠{卧人}乙,HsStKi,xì_qì_gē,CJK-A)	䬣
(尸食,FsHs,zàn_zhān,CJK-A)	䬤
(弋食,XiHs,yì,CJK-A)	䬥
(飠殳,HsRs,dòu_shè,CJK-A)	䬦
(飠二{见字底},HsNeRe,yuán,CJK-A)	䬧
(飠勹九,HsAkLj,jiù,CJK-A)	䬨
(不食,RbHs,0,CJK-A)	䬩
(飠不,HsRb,bó,CJK-A)	䬪
(飠氏{捺、点类},HsZsOd,tí,CJK-A)	䬫
(飠{见二}大,HsJkId,yǐng,CJK-A)	䬬
(口刀食,KkNdHs,0,CJK-A)	䬭
(飠{以字旁}人,HsWbHr,yí,CJK-A)	䬮
(飠{卢字头}口,HsFbKk,nián_tiǎn,CJK-A)	䬯
(飠刀口,HsNdKk,shào,CJK-A)	䬰
(飠木{横类},HsYmDi,bèn,CJK-A)	䬱
(飠句,HsEj,gōu,CJK-A)	䬲
(飠丷{举字底},HsNbOs,bǎn,CJK-A)	䬳
(飠{横类}木,HsDiYm,mò,CJK-A)	䬴
(飠亥,HsXh,gāi_ài,CJK-A)	䬵
(飠艮,HsPg,èn,CJK-A)	䬶
(飠夕夕,HsVxVx,shě,CJK-A)	䬷
(歹又食,SdTyHs,0,CJK-A)	䬸
(飠至,HsGi,zhì,CJK-A)	䬹
(飠羊,HsSy,yàng,CJK-A)	䬺
(飠戈二,HsAgNe,jiàn,CJK-A)	䬻
(飠口{青字底},HsKkFy,yuàn,CJK-A)	䬼
(飠丷口儿,HsNbKkRe,shuì_duì,CJK-A)	䬽
(飠丷{弟省},HsNbXf,tí,CJK-A)	䬾
(飠尸毛,HsFsQm,wěi_wèi,CJK-A)	䬿
(飠{折类}十辶,HsAePsJc,xùn,CJK-A)	䭀
(扌斤食,OsSjHs,zhì,CJK-A)	䭁
(飠口巴,HsKkBb,yì,CJK-A)	䭂
(飠亽{折类}心,HsZiAeLx,rěn_niè,CJK-A)	䭃
(飠{横类}口{事字底},HsDiKkIv,shì,CJK-A)	䭄
(飠囗古,HsAkOg,hú,CJK-A)	䭅
(臣卜食,EcFbHs,nè,CJK-A)	䭆
(飠勹士口,HsAkJsKk,yē_yì,CJK-A)	䭇
(飠聿廴,HsIvRy,jiàn,CJK-A)	䭈
(飠{左字框}工{青字底},HsPsLgFy,suǐ,CJK-A)	䭉
(飠艹{见二}大,HsZcJkId,yǐng,CJK-A)	䭊
(飠亻口木,HsHrKkYm,bǎo,CJK-A)	䭋
(古月食,OgFyHs,hú,CJK-A)	䭌
(飠龶皿,HsJfHm,hú,CJK-A)	䭍
(飠廿{折类}木,HsPnAeYm,yè,CJK-A)	䭎
(亽{叚字旁无二}三{扁字心},ZiFsAsYc,0,CJK-A)	䭏
(飠{美字头}心,HsSyLx,yàng,CJK-A)	䭐
(飠䒑{聿三}{兼无䒑无彐},HsNbWjRh,lián_qiàn_xiàn,CJK-A)	䭑
(飠自心,HsViLx,xī,CJK-A)	䭒
(飠山豆,HsUsGd,èn,CJK-A)	䭓
(飠{撇类}㠯辶,HsTpTiJc,duī,CJK-A)	䭔
(車斤食,QcSjHs,zǎn_jiǎn,CJK-A)	䭕
(飠广廿灬,HsBgPnRh,zhù,CJK-A)	䭖
(飠音儿,HsWyRe,yǐng,CJK-A)	䭗
(飠日{享字头}小,HsUrQgIx,yǐng,CJK-A)	䭘
(飠旡旡日,HsCuCuUr,jǐn_jiàn,CJK-A)	䭙
(飠立里,HsXlAl,chuáng,CJK-A)	䭚
(飠{折类}耳攵,HsAeVeAp,dàn,CJK-A)	䭛
(亽{叚字旁无二}三小,ZiFsAsIx,0,CJK-A)	䭜
(飠亼{临下角}日,HsZiUrUr,kuài,CJK-A)	䭝
(飠罒土{南字心},HsBsEtSy,yì,CJK-A)	䭞
(飠艹廿木,HsZcPnYm,yè,CJK-A)	䭟
(飠广䒑{兼无䒑无彐},HsBgNbRh,jiǎn,CJK-A)	䭠
(飠爫工心,HsIaLgLx,èn,CJK-A)	䭡
(飠宀心丁,HsGgLxPd,níng,CJK-A)	䭢
(飠亠丷二,HsLwNbNe,cí,CJK-A)	䭣
(飠{贵字头}㠯辶,HsVcTiJc,qiǎn,CJK-A)	䭤
(飠{差字头}{捺、点类}艮,HsSyOdPg,xuè,CJK-A)	䭥
(飠艹氵寸,HsZcMsOc,bō,CJK-A)	䭦
(飠麻糸,HsAmFs,mǐ,CJK-A)	䭧
(飠山隹口,HsUsMiKk,shuì,CJK-A)	䭨
(飠麻非,HsAmLf,mó,CJK-A)	䭩
(饣日{横类}里,NsUrDiAl,liáng,CJK-A)	䭪
(匕日䒑自,WbUrNbVi,qǐ,CJK-A)	䭫
(匕日巛自,WbUrKcVi,qǐ,CJK-A)	䭬
(䒑自頁,NbViWy,shǒu,CJK-A)	䭭
(髟䒑自,GbNbVi,fú,CJK-A)	䭮
(禾日屮凵,BhUrMcJk,bó,CJK-A)	䭯
(禾日{寿字头}{举字底},BhUrJfOs,bèng,CJK-A)	䭰
(禾日㡀,BhUrIb,bié,CJK-A)	䭱
(禾日大可,BhUrIdEk,yǐ,CJK-A)	䭲
(禾女鬼日,BhWnEgUr,wèi,CJK-A)	䭳
(馬十,NmPs,huán,CJK-A)	䭴
(馬几{捺、点类},NmQjOd,fán,CJK-A)	䭵
(馬丌,NmZc,qí,CJK-A)	䭶
(馬毛,NmQm,máo,CJK-A)	䭷
(馬八乂,NmNbEi,fù,CJK-A)	䭸
(馬{卬字旁}卩,NmKkWj,áng,CJK-A)	䭹
(馬亠几,NmLwQj,ǎng,CJK-A)	䭺
(馬八刀,NmNbNd,fēn_fù,CJK-A)	䭻
(馬二{乔字底},NmNeNd,qí,CJK-A)	䭼
(馬牛,NmXn,qún,CJK-A)	䭽
(馬犬,NmAq,tuó,CJK-A)	䭾
(馬{撇类}夫,NmTpGf,yì,CJK-A)	䭿
(馬勹巳,NmAkVs,bó,CJK-A)	䮀
(馬厶廾,NmIsZc,pián,CJK-A)	䮁
(馬{左字框}又{捺、点类},NmPsTyOd,bá,CJK-A)	䮂
(馬土厶,NmEtIs,0,CJK-A)	䮃
(馬亠幺,NmLwDy,xuán,CJK-A)	䮄
(馬戉,NmMu,0,CJK-A)	䮅
(馬不十,NmRbPs,0,CJK-A)	䮆
(馬聿,NmIv,yù,CJK-A)	䮇
(馬夕夕,NmVxVx,chí,CJK-A)	䮈
(馬{卧人}{旅下角},NmStQi,lú,CJK-A)	䮉
(馬{大框}弓,NmIdCg,yí,CJK-A)	䮊
(馬歹刂,NmSdNd,lì,CJK-A)	䮋
(馬亻木,NmHrYm,0,CJK-A)	䮌
(馬衣,NmQi,niǎo,CJK-A)	䮍
(馬乂{左字框}巾,NmEiPsAj,xì,CJK-A)	䮎
(馬五口,NmUuKk,wú,CJK-A)	䮏
(馬冂八口,NmJkNbKk,0,CJK-A)	䮐
(馬爫寸,NmIaOc,lèi_luò,CJK-A)	䮑
(馬甫,NmBf,pū,CJK-A)	䮒
(馬{卢字头}日十,NmFbUrPs,zhuō_chào,CJK-A)	䮓
(馬千艹士,NmNqZcJs,zuī,CJK-A)	䮔
(馬又又又,NmTyTyTy,zhuó,CJK-A)	䮕
(馬日日,NmUrUr,chāng,CJK-A)	䮖
(馬山厂干,NmUsUcZg,àn_yàn,CJK-A)	䮗
(馬臼儿,NmYjRe,ér,CJK-A)	䮘
(馬戈口{横类},NmAgKkDi,yù,CJK-A)	䮙
(馬土八夂,NmEtNbJi,lèng_líng,CJK-A)	䮚
(馬阝亻寸,NmXeHrOc,fù,CJK-A)	䮛
(馬廿{折类}木,NmPnAeYm,zhá_yè,CJK-A)	䮜
(馬冖車,NmGgQc,hún,CJK-A)	䮝
(馬{寿字头}{捺、点类}日,NmJfOdUr,chǔn,CJK-A)	䮞
(馬宀火又,NmGgRhTy,sōu_sǒu,CJK-A)	䮟
(馬{横类}口田,NmDiKkCt,bī,CJK-A)	䮠
(馬{卧人}日夂,NmStUrJi,bì_bó,CJK-A)	䮡
(馬千臼,NmNqYj,zhá,CJK-A)	䮢
(馬又又木,NmTyTyYm,0,CJK-A)	䮣
(馬冖隹,NmGgMi,hé,CJK-A)	䮤
(馬鬲,NmUg,lì,CJK-A)	䮥
(馬高,NmQg,0,CJK-A)	䮦
(十日十馬,PsUrPsNm,hàn_hán,CJK-A)	䮧
(馬宀辛,NmGgSx,zǎi,CJK-A)	䮨
(馬骨,NmUg,gú,CJK-A)	䮩
(馬夕㐄木,NmVxLkYm,chéng,CJK-A)	䮪
(馬口十女,NmKkPsWn,lóu_lǘ,CJK-A)	䮫
(馬艹日大,NmZcUrId,mò,CJK-A)	䮬
(馬爫見,NmIaDj,mì,CJK-A)	䮭
(馬{木框}人夊,NmYmHrJi,mài,CJK-A)	䮮
(馬敖,NmQa,ào,CJK-A)	䮯
(馬{立无横}冂古,NmXlJkOg,zhé,CJK-A)	䮰
(馬豕辶,NmHsJc,zhú,CJK-A)	䮱
(馬黄,NmEh,huáng,CJK-A)	䮲
(馬{撇类}米田,NmTpFmCt,fán,CJK-A)	䮳
(馬癶豆,NmNbGd,dèng_tēng,CJK-A)	䮴
(馬立里,NmXlAl,tóng,CJK-A)	䮵
(馬隹木,NmMiYm,0,CJK-A)	䮶
(馬罒勹虫,NmBsAkVc,dú,CJK-A)	䮷
({臼裂}乂乂馬,YjEiEiNm,wò,CJK-A)	䮸
(馬止戊{步字底},NmLiMuLi,wèi_guì,CJK-A)	䮹
(馬亠丷二,NmLwNbNe,jì,CJK-A)	䮺
(馬士{折类}寸,NmJsAeOc,chì,CJK-A)	䮻
(馬火火㐄,NmRhRhLk,lín,CJK-A)	䮼
(馬鹿灬,NmIlRh,biāo,CJK-A)	䮽
(馬立{青字底}{龍字边},NmXlFyDa,lóng_lòng,CJK-A)	䮾
(馬宀{寒字腰无横}足,NmGgVjIu,jiǎn,CJK-A)	䮿
(馬耳耳耳,NmVeVeVe,niè,CJK-A)	䯀
(馬{赢字框}羊,NmOiSy,luó,CJK-A)	䯁
(馬馬馬木,NmNmNmYm,shēn_jí,CJK-A)	䯂
(马宀女,SmGgWn,0,CJK-A)	䯃
(马口冂人,SmKkJkHr,guā,CJK-A)	䯄
(马耳又又,SmVeTyTy,niè,CJK-A)	䯅
(骨{折类},UgAe,yì,CJK-A)	䯆
(骨力,UgCl,kū,CJK-A)	䯇
(骨二{见字底},UgNeRe,wán,CJK-A)	䯈
(骨欠,UgPq,wā,CJK-A)	䯉
(骨可,UgEk,qià_kē,CJK-A)	䯊
(骨{左字框}又{捺、点类},UgPsTyOd,bó_fèi,CJK-A)	䯋
(骨尸九,UgFsLj,kāo,CJK-A)	䯌
(骨亽龴,UgZiIs,líng,CJK-A)	䯍
(骨{全字头}干,UgHrZg,gàn,CJK-A)	䯎
(骨舌,UgWs,guā_huá,CJK-A)	䯏
(骨冂人人,UgJkHrHr,hái,CJK-A)	䯐
(骨光,UgWg,kuāng,CJK-A)	䯑
(骨行,UgPx,héng,CJK-A)	䯒
(骨土土,UgEtEt,kuī,CJK-A)	䯓
(骨宀{撇类}七,UgGgTpCq,zé,CJK-A)	䯔
(骨{撇类}士廴,UgTpJsRy,tīng,CJK-A)	䯕
(骨{捺、点类}艮,UgOdPg,láng,CJK-A)	䯖
(骨{比字旁}匕土,UgWbWbEt,bì,CJK-A)	䯗
(骨宀二{见字底},UgGgNeRe,huàn,CJK-A)	䯘
(骨甫,UgBf,pò,CJK-A)	䯙
(骨幺{青字底},UgDyFy,yǎo,CJK-A)	䯚
(骨宀夕㔾,UgGgVxWj,wàn,CJK-A)	䯛
(骨日勹{横两撇},UgUrAkFs,tì_xī,CJK-A)	䯜
(骨{左字框}工{青字底},UgPsLgFy,suǐ,CJK-A)	䯝
(骨咼,UgUg,kuā,CJK-A)	䯞
(骨䒑{豕省},UgNbHs,duì_xiá,CJK-A)	䯟
(骨日皿,UgUrHm,ǎo,CJK-A)	䯠
(骨䒑{聿三}{兼无䒑无彐},UgNbWjRh,jiàn,CJK-A)	䯡
(麻骨,AmUg,mó_mǒ,CJK-A)	䯢
(骨{贵字头}貝,UgVcVb,kuì_guì,CJK-A)	䯣
(骨亼{临下角}日,UgZiUrUr,kuài,CJK-A)	䯤
(骨日幺灬,UgUrDyRh,àn_qì,CJK-A)	䯥
(骨艹罒{捺、点类},UgZcBsOd,mà,CJK-A)	䯦
({亮字头}冂口,QgJkKk,qǐng_qìng,CJK-A)	䯧
(高大,QgId,qiāo_hè,CJK-A)	䯨
(高巴,QgBb,0,CJK-A)	䯩
(高頁,QgWy,kǎo_kào,CJK-A)	䯪
(日{享字头}小高,UrQgIxQg,hào,CJK-A)	䯫
({享字头}囗口十,QgAkKkPs,duǒ,CJK-A)	䯬
(髟又,GbTy,xiān,CJK-A)	䯭
(髟乃,GbDn,nái,CJK-A)	䯮
(髟{少三}{撇类},GbIxTp,suō,CJK-A)	䯯
(髟{全字头}{乔字底},GbHrNd,jiè,CJK-A)	䯰
(髟不,GbRb,pī_pēi_fù,CJK-A)	䯱
(髟巴,GbBb,pā_bà,CJK-A)	䯲
(髟八厶,GbNbIs,sōng,CJK-A)	䯳
(髟殳,GbRs,cháng,CJK-A)	䯴
(髟十廾,GbPsZc,niè,CJK-A)	䯵
(髟且,GbHq,mán_mián,CJK-A)	䯶
(髟戈{左字框},GbAgPs,sōng,CJK-A)	䯷
(髟冫欠,GbGbPq,cì,CJK-A)	䯸
(髟彐冖又,GbWjGgTy,xiān,CJK-A)	䯹
(髟氏口,GbZsKk,kuò,CJK-A)	䯺
(髟{告字头}口,GbXnKk,0,CJK-A)	䯻
(髟犭火,GbAqRh,dí,CJK-A)	䯼
(髟立口,GbXlKk,póu_pǒu_bǎo,CJK-A)	䯽
(髟{周字框}土口,GbJkEtKk,tiáo_diāo,CJK-A)	䯾
(髟亠人十,GbLwHrPs,zú_suì_zuì,CJK-A)	䯿
(髟禾女,GbBhWn,wǒ,CJK-A)	䰀
(髟{录字头}氺,GbWjMs,fèi,CJK-A)	䰁
(髟爫木,GbIaYm,cài,CJK-A)	䰂
(髟䒑业,GbNbOy,péng_pèng_fǎng,CJK-A)	䰃
(髟田心,GbCtLx,sāi_shì,CJK-A)	䰄
(髟頁,GbWy,0,CJK-A)	䰅
(髟予{撇类}木,GbOvTpYm,róu,CJK-A)	䰆
(髟耂日,GbRlUr,qí,CJK-A)	䰇
(髟{差字头}工,GbSyLg,cuó,CJK-A)	䰈
(髟舟殳,GbQoRs,pán_bān,CJK-A)	䰉
(髟甫寸,GbBfOc,bó,CJK-A)	䰊
(髟日宀女,GbUrGgWn,mán,CJK-A)	䰋
(髟彳人龰,GbGcHrLi,zǒng_cōng,CJK-A)	䰌
(髟木{全字头}氺,GbYmHrMs,cì,CJK-A)	䰍
(髟{贵字头}貝,GbVcVb,kuì,CJK-A)	䰎
(髟十戈隹,GbPsAgMi,jì,CJK-A)	䰏
(髟臣{临右角}皿,GbEcJuHm,lán,CJK-A)	䰐
(髟{雨头}而,GbXvKe,0,CJK-A)	䰑
(髟艹冖豕,GbZcGgHs,méng,CJK-A)	䰒
(髟自穴方,GbViAxMf,mián,CJK-A)	䰓
(髟舟殳皿,GbQoRsHm,pán,CJK-A)	䰔
(髟虍田皿,GbShCtHm,lú,CJK-A)	䰕
(髟{告字头}儿貝,GbXnReVb,zuǎn,CJK-A)	䰖
(鬥{负字头}黾,SdDdUm,jiū,CJK-A)	䰗
(鬥羽{全字头}彡,SdWvHrFs,liú_jiǎo,CJK-A)	䰘
(鬲支,UgRi,yǐ,CJK-A)	䰙
(鬲文,UgLw,wén,CJK-A)	䰚
(鬲瓦,UgTw,lì_gé,CJK-A)	䰛
(弓鬲弓,CgUgCg,lì,CJK-A)	䰜
(鬲丷囗日,UgNbAkUr,zèng,CJK-A)	䰝
(弓耂日鬲,CgRlUrUg,zhǔ,CJK-A)	䰞
(云鬼,ZyEg,hún,CJK-A)	䰟
(鬼日{竖类},EgUrHs,shén,CJK-A)	䰠
(鬼{撇类}夫,EgTpGf,chì,CJK-A)	䰡
(鬼行,EgPx,xìng,CJK-A)	䰢
(鬼冂乂乂,EgJkEiEi,wǎng,CJK-A)	䰣
(束{横类}鬼,TsDiEg,dōng,CJK-A)	䰤
(戈口{横类}鬼,AgKkDiEg,huò_yù,CJK-A)	䰥
(鬼白{撇类}十,EgJbTpPs,pǐ,CJK-A)	䰦
(鬼虎,EgSh,hū,CJK-A)	䰧
(鬼{眉字框}目,EgFsEm,mèi,CJK-A)	䰨
(耂日鬼,RlUrEg,chě_dū,CJK-A)	䰩
(冫{飞无折}人鬼,GbGbHrEg,mèi,CJK-A)	䰪
(鬼土土{见字底},EgEtEtRe,chāo_cháo_zhào,CJK-A)	䰫
(鬼予{撇类}口,EgOvTpKk,jú,CJK-A)	䰬
(而而鬼,KeKeEg,nòu,CJK-A)	䰭
(鬼{美字头}{撇类}戈,EgSyTpAg,0,CJK-A)	䰮
(鬼匕矢疋,EgWbGsEs,yì,CJK-A)	䰯
({雨头}而鬼,XvKeEg,rú,CJK-A)	䰰
({雨头}口口鬼,XvKkKkEg,líng_lóng,CJK-A)	䰱
(魚{折类},AvAe,yà,CJK-A)	䰲
(魚丁,AvPd,0,CJK-A)	䰳
(魚{卧人}乙,AvStKi,qì,CJK-A)	䰴
(魚子,AvHi,zī,CJK-A)	䰵
(魚亡,AvNw,0,CJK-A)	䰶
(魚丰,AvJf,bàng,CJK-A)	䰷
(魚八厶,AvNbIs,gōng,CJK-A)	䰸
(魚戈,AvAg,zé,CJK-A)	䰹
(魚斤,AvSj,jiè,CJK-A)	䰺
(魚攵,AvAp,yú,CJK-A)	䰻
(魚亽{折类},AvZiAe,qín_yín_shèn,CJK-A)	䰼
(魚{横类}巾,AvDiAj,bèi,CJK-A)	䰽
(魚巴,AvBb,bā_bà,CJK-A)	䰾
(魚{卧人}也,AvStEy,tuó,CJK-A)	䰿
(魚{见二}大,AvJkId,yāng,CJK-A)	䱀
(魚木{横类},AvYmDi,qiáo,CJK-A)	䱁
(魚幺力,AvDyCl,yǒu,CJK-A)	䱂
(魚{撇类}夫,AvTpGf,zhì,CJK-A)	䱃
(魚瓜,AvSg,jiè,CJK-A)	䱄
(魚{横类}木,AvDiYm,mò,CJK-A)	䱅
(魚乃子,AvDnHi,shéng,CJK-A)	䱆
(魚日{横类},AvUrDi,shàn,CJK-A)	䱇
(魚示,AvLs,qí,CJK-A)	䱈
(魚且,AvHq,shàn,CJK-A)	䱉
(魚米,AvFm,mǐ,CJK-A)	䱊
(魚龷八,AvPnNb,gǒng,CJK-A)	䱋
(魚{颐字旁},AvEc,yí,CJK-A)	䱌
(魚{横类}{竖类}{冬字底},AvDiHsGb,gèng,CJK-A)	䱍
(魚{横类}日{横类},AvDiUrDi,gèng,CJK-A)	䱎
(魚豆,AvGd,tǒu,CJK-A)	䱏
(魚爫子,AvIaHi,fū,CJK-A)	䱐
(魚扌斤,AvOsSj,xué,CJK-A)	䱑
(魚口巴,AvKkBb,yè,CJK-A)	䱒
(魚{撇类}士廴,AvTpJsRy,tíng_tǐng,CJK-A)	䱓
(魚亻{竖类}攵,AvHrHsAp,tiáo_chóu,CJK-A)	䱔
(魚{卧人}母,AvStPm,móu_méi,CJK-A)	䱕
(魚丌匚{叚右角},AvZcVkVk,liú,CJK-A)	䱖
(歺又魚,SdTyAv,cān,CJK-A)	䱗
(禾刂魚,BhNdAv,lí,CJK-A)	䱘
(魚{卢字头}{横类}又,AvFbDiTy,shū,CJK-A)	䱙
(魚{录字头}氺,AvWjMs,lù,CJK-A)	䱚
(魚戈口{横类},AvAgKkDi,huò_xù_yì,CJK-A)	䱛
(魚龷日,AvPnUr,cuò,CJK-A)	䱜
(魚白{撇类}十,AvJbTpPs,pái_bēi,CJK-A)	䱝
(魚大示,AvIdLs,liú,CJK-A)	䱞
(魚尸古,AvFsOg,jù_jū,CJK-A)	䱟
(魚戈戈,AvAgAg,zhàn,CJK-A)	䱠
(魚勹米,AvAkFm,jú,CJK-A)	䱡
(魚{尔字头}{争字底},AvDdIv,zhēng,CJK-A)	䱢
(魚亠人十,AvLwHrPs,zú,CJK-A)	䱣
(魚{负字头}臼,AvDdYj,xiàn,CJK-A)	䱤
(牛巾刂魚,XnAjNdAv,zhì_jì,CJK-A)	䱥
(魚隹,AvMi,0,CJK-A)	䱦
(魚丷夫㔾,AvNbGfWj,0,CJK-A)	䱧
(魚{木框}冂刂,AvYmJkNd,là,CJK-A)	䱨
(魚冂䒑亡,AvJkNbNw,0,CJK-A)	䱩
(魚龶{衣省},AvJfQi,0,CJK-A)	䱪
(束刂魚,TsNdAv,là,CJK-A)	䱫
(魚疋{青字底},AvEsFy,xū,CJK-A)	䱬
(魚忄{横类}{冬字底},AvLxDiGb,gèng,CJK-A)	䱭
(魚丰刀大,AvJfNdId,é,CJK-A)	䱮
(予{撇类}攵魚,OvTpApAv,mú,CJK-A)	䱯
(魚千里,AvNqAl,zhòng,CJK-A)	䱰
(魚{立无横}冖巾,AvXlGgAj,tí_dì,CJK-A)	䱱
(魚彑{豕省},AvWjHs,yuán,CJK-A)	䱲
(魚厂里,AvUcAl,zhān,CJK-A)	䱳
(魚忄{横类}{横类},AvLxDiDi,gèng,CJK-A)	䱴
