丶丶,OdOd	⺀
囗力,AkCl	㘞
囗廾,AkZc	㘟
囗心丿,AkLxTp	㘠
囗甲,AkHj	㘡
囗光,AkWg	㘢
囗口⺝,AkKkFy	㘣
囗氵片爿一,AkMsJpDi	㘤
囗爫缶丿糸,AkIaTfFs	㘥
土力,EtCl	㘦
土予,EtOv	㘧
土冂人,EtJkHr	㘨
土匕,EtWbWb	㘩
土毛,EtQm	㘪
土井,EtVj	㘫
土勹厶,EtAkIs	㘬
土幺𠃌,EtDyAe	㘭
土尸丶,EtFsOd	㘮
土𠂉力,EtStCl	㘯
土斗,EtLd	㘰
土冂土,EtJkEt	㘱
土尸九,EtFsLj	㘲
匕土,JpWbEt	㘳
口人土,KkHrEt	㘴
土𠂇巾,EtPsAj	㘵
夕㐄土,VxLkEt	㘶
土艹乂,EtZcEi	㘷
歹匕土,SdWbEt	㘸
止匕土,LiWbEt	㘹
土亻戈,EtHrAg	㘺
土囗大,EtAkId	㘻
土耂一ㄅ,EtRlDiAe	㘼
十戈土,PsAgEt	㘽
土宀一𬺰,EtGgDiPs	㘾
土日土,EtUrEt	㘿
土穴九,EtAxLj	㙀
土𠂉母,EtStPm	㙁
土丷口儿,EtNbKkRe	㙂
土,EtSjNb	㙃
土匕土,EtWbWbEt	㙄
土口木,EtKkYm	㙅
土宀𠂇厶,EtGgPsIs	㙆
土豕丶,EtHsOd	㙇
土虎,EtSh	㙈
土𠕁,EtYcNb	㙉
土長,EtIc	㙊
土,EtFgNb	㙋
土肀八,EtIvNdNb	㙌
土又又又又,EtTyTyTy	㙍
土戊一女,EtMuDiWn	㙎
土𠂉日夂,EtStUrJi	㙏
土山而,EtUsKe	㙐
丿口⽱土,TpKkArEt	㙑
田予土,CtOvEt	㙒
土土土土,EtEtEtEt	㙓
土韋,EtJw	㙔
土田⺝,EtCtFy	㙕
土丿口⽱,EtTpKkAr	㙖
土田一,EtCtDiQi	㙗
土覀女,EtUxWn	㙘
氵龙土,MsVlFsEt	㙙
土⺷牛,EtSyXn	㙚
土甫寸,EtBfOc	㙛
高土,QgEt	㙜
土力力力⺝,EtClClFy	㙝
土自木,EtViYm	㙞
土丶月,EtOdPgFy	㙟
匚矢殳土,VkGsRsEt	㙠
土彳人人龰,EtGcHrLi	㙡
土廿冂丨入入,EtPnJkVu	㙢
土弓長,EtCgIc	㙣
土虍丿丷𬺰,EtShTpPs	㙤
土衣八厶,EtQiNbIs	㙥
人禾斗土,HrBhLdEt	㙦
土田,EtRmCt	㙧
土幺幺戊丶,EtDyDyOd	㙨
土大丷日小,EtIdNbIx	㙩
土士冖豆,EtJsGgGd	㙪
土隹木,EtMiYm	㙫
木人人犬土,YmHrHrEt	㙬
土厂䒑欠,EtUcNbPq	㙭
土⺮亼口,EtJuZiKk	㙮
土八土丸云,EtNbEtZy	㙯
⺈用刀牛土,DdGyNdEt	㙰
口一ㄅ虎土,KkDiAeEt	㙱
土亠乡隹,EtLtRxMi	㙲
土戊一口心,EtMuDiLx	㙳
土⺈厂八言,EtDdUcDy	㙴
土高土,EtQgEt	㙵
土,QgSsEt	㙶
土日幺幺灬,EtUrDyRh	㙷
土亻业⺶㇏,EtHrOyOd	㙸
土艹罒冖夕,EtZcBsVx	㙹
土匚虫貝,EtVkVcRb	㙺
土广里八土,EtBgAlEt	㙻
土田田田,EtCtCtCt	㙼
土大一白一白,EtIdDiJb	㙽
土乂乂冖子,EtYjEiHi	㙾
土⺷禾乃,EtSyBhAg	㙿
土虍豆戈,EtShGdAg	㚀
土土土一儿土土土一儿,EtEtEtRe	㚁
土十口冖{双口}井一𧘇,EtPsKkQi	㚂
士冖㐅凵䒑,JsGgEiNb	㚃
士冖田疋,JsGgCtEs	㚄
夂一生,JiDiIs	㚅
亠日夂,LtUrJi	㚆
㐅凵八夂,EiJkNbJi	㚇
夕十,VxPs	㚈
乃夕夕,DnVxVx	㚉
夕夕亥,VxVxXh	㚊
夕夕⺆土口,VxVxJkKk	㚋
夕夕田木,VxVxCtYm	㚌
夕夕虫貝,VxVxVcRb	㚍
大凵,IdJk	㚎
大廾,IdZc	㚏
大大,IdId	㚐
彐大,WjId	㚑
大入入,IdVuVu	㚒
大木,IdYm	㚓
大,IdSy	㚔
大弗,IdXf	㚕
白大,JbId	㚖
大且,IdHq	㚗
夫夫,GfGf	㚘
力口大,ClKkId	㚙
大夕口,IdVxKk	㚚
大匕日,IdWbUr	㚛
大戈口一,IdAgKkDi	㚜
大亻土土,IdHrEtEt	㚝
大木木,IdYmYm	㚞
匕匕大,AtWbWbId	㚟
大⺷灬,IdSyRh	㚠
大可大可,IdEkIdEk	㚡
亻女,HrWn	㚢
女女,WnWn	㚣
女弋,WnXi	㚤
女一𬺰,WnDiPs	㚥
女丌,WnZc	㚦
女广,WnBg	㚧
女⺄十,WnAePs	㚨
女冂二,WnJkNe	㚩
女毛,WnQm	㚪
女及,WnFj	㚫
女勹冫,WnAkGb	㚬
女尤,WnVy	㚭
女冖几,WnGgQj	㚮
女几乂,WnQjEi	㚯
女不一,WnRbDi	㚰
女一,WnSjDi	㚱
女⺊口,WnFbKk	㚲
女力口,WnClKk	㚳
女𠂇巾,WnPsAj	㚴
女夂゛,WnJiGb	㚵
女㠯,WnTi	㚶
女人小,WnHrIx	㚷
女𠃌一口,WnAeDiKk	㚸
女卯,WnRm	㚹
女乃子,WnDnHi	㚺
田女,CtWn	㚻
女田,WnCt	㚼
工一ㄅ女,LgDiAeWn	㚽
女口儿,WnKkRe	㚾
女勹巳,WnAkVs	㚿
女⺈彐,WnDdWj	㛀
女干丷,WnZgNb	㛁
女⺁巴,WnUcBb	㛂
丰刀女,JfNdWn	㛃
女衣,WnQi	㛄
女耳,WnVe	㛅
女乃木,WnDnYm	㛆
女广土,WnBgEt	㛇
女耂一ㄅ,WnRlDiAe	㛈
女西,WnUx	㛉
女几木,WnQjYm	㛊
女人⺗,WnHrLx	㛋
女厶牛,WnIsXn	㛌
女大人人,WnIdHrHr	㛍
女{双口},WnPx	㛎
女一氺丶,WnDiMsOd	㛏
女{凬字心},WnScEi	㛐
歺又女,SdTyWn	㛑
女豆,WnGd	㛒
女㐅𠂇巾,WnEiPsAj	㛓
女夂丰,WnJiJf	㛔
女口巴,WnKkBb	㛕
女厶八夂,WnIsNbJi	㛖
女人人土,WnHrHrEt	㛗
女十冖子,WnPsGgHi	㛘
女辛,WnSx	㛙
女龴用,WnIsGy	㛚
女身,WnXs	㛛
亻丨攵女,HrHsApWn	㛜
女貝,WnRb	㛝
女王廾,WnRwZc	㛞
女⺈冂大,WnDdJkId	㛟
女门日,WnTmUr	㛠
女宀二儿,WnGgNeRe	㛡
女禾乃,WnBhDn	㛢
女口贝,WnKkVb	㛣
女一,WnDiFyFy	㛤
女水日,WnMsUr	㛥
女木木,WnYmYm	㛦
女山石,WnUsDs	㛧
女⺶乚,WnSyAe	㛨
女⺝,WnZyFy	㛩
女大日乚,WnIdUrAe	㛪
女日勹,WnUrAkFs	㛫
女土八土,WnEtNbEt	㛬
女龷日,WnPnUr	㛭
女宀火又,WnGgRhTy	㛮
女儿力,WnAtReCl	㛯
女民日,WnVmUr	㛰
女田一,WnCtDiQi	㛱
女頁,WnWy	㛲
冖巾女,XlGgAjWn	㛳
女巛丿龱,WnKcTpKl	㛴
女爫冂土,WnIaJkEt	㛵
女山𠂇火,WnUsPsRh	㛶
禾尤女,BhVyWn	㛷
女壴,WnEu	㛸
女亻{凬字心},WnHrScEi	㛹
女音,WnWy	㛺
女大土土,WnIdEtEt	㛻
女千臼,WnNqYj	㛼
女宀米,WnGgFm	㛽
女戊一口,WnMuDiKk	㛾
女卅冖巾,WnQsGgAj	㛿
女木目,WnYmEm	㜀
女木日一,WnYmUrDi	㜁
土土寸女,EtEtOcWn	㜂
女亻言,WnHrDy	㜃
女風,WnIf	㜄
女亠幺田,WnLtDyCt	㜅
女米辶,WnFmJc	㜆
女土土心,WnEtEtLx	㜇
予丿夂力女,OvTpJiWn	㜈
女巛口巴,WnKcKkBb	㜉
女尸龷,WnFsPnQi	㜊
女皿,WnMsHm	㜋
士冖一女殳,JsGgDiRs	㜌
女广肀口,WnBgIvKk	㜍
女爫幺大,WnIaDyId	㜎
女口貝,WnKkRb	㜏
女山豆,WnUsGd	㜐
氵甫女,MsBfWn	㜑
女臼廾,WnYjZc	㜒
女艹亼口,WnZcZiKk	㜓
女立口儿,WnXlKkRe	㜔
女車辶,WnQcJc	㜕
女一曲日,WnDiEqUr	㜖
女厶厶厶人彡,WnIsIsFs	㜗
女虍且,WnShHq	㜘
女鹿,WnIl	㜙
女宀亻一白,WnGgHrJb	㜚
女車欠,WnQcPq	㜛
女敖,WnQa	㜜
女亽ヿ酉,WnZiAeBy	㜝
車斤女,QcSjWn	㜞
女ヿ耳攵,WnAeVeAp	㜟
女山隹,WnUsMi	㜠
女彳人人龰,WnGcHrLi	㜡
女口丨女,WnNuKkWn	㜢
女犬灬,WnFyAqRh	㜣
女覀日十,WnUxUrPs	㜤
女罒貝,WnBsRb	㜥
女彐工口寸,WnWjLgOc	㜦
女厂䒑欠,WnUcNbPq	㜧
女尸氺牛,WnFsMsXn	㜨
女丿冂米大,WnTpJkId	㜩
立木斤女,XlYmSjWn	㜪
女{微框}几,WnWwQj	㜫
女⺈厂八言,WnDdUcDy	㜬
女田,WnSsCt	㜭
女臣皿,WnEcJuHm	㜮
女巳灬,WnEcVsRh	㜯
女白幺幺木,WnJbDyYm	㜰
女斤斤貝,WnSjSjRb	㜱
女{赢框}女,WnOiWn	㜲
女衣罒水,WnQiBsMs	㜳
女艹罒冖目,WnZcBsEm	㜴
女衣馬,WnQiNm	㜵
女匕匕兔,WnAtWbAt	㜶
弓一女,CgDiIbWn	㜷
艹丿㠯辛女,ZcTpTiWn	㜸
女目目隹,WnEmEmMi	㜹
女𠂒儿𠂒儿貝,WnXnReRb	㜺
女言糹糹心,WnDyFsLx	㜻
女田田田冖且,WnCtCtHq	㜼
巛子,KcHi	㜽
子人,HiHrNd	㜾
子予,HiOv	㜿
母子,PmHi	㝀
勹日子,AkUrHi	㝁
子扌斤,HiOsSj	㝂
子儿,HiAtRe	㝃
子一,QgHiDiMc	㝄
士冖一子殳,JsGgDiRs	㝅
子壴口,HiEuKk	㝆
子子,QgHiQgHi	㝇
言糹糹子子,DyFsFsHi	㝈
宀一,GgDi	㝉
宀又,GgTy	㝊
宀了,GgEl	㝋
宀㇏,GgDdOd	㝌
宀与,GgNy	㝍
宀之,GgXi	㝎
宀人,GgHrNd	㝏
穴厶,AxIs	㝐
宀方,GgMf	㝑
宀古,GgOg	㝒
宀亼口,GgZiKk	㝓
宀六乂,GgMlEi	㝔
宀心又,GgLxTy	㝕
宀夕夕,GgVxVx	㝖
宀丶艮,GgOdPg	㝗
宀言,GgDy	㝘
宀王,GgRwNb	㝙
宀丿止廴,GgTpLiRy	㝚
宀亻一囗人,GgHrDiHr	㝛
宀龷日,GgPnUr	㝜
宀木木,GgYmYm	㝝
宀一,GgDiOy	㝞
宀一見,GgDiDj	㝟
宀日六,GgUrMl	㝠
宀耳又,GgVeTy	㝡
宀丿口⽱,GgTpKkAr	㝢
宀丰刀大,GgJfNdId	㝣
宀井王冂,GgVjRwJk	㝤
宀爿米,GgJpFm	㝥
宀隹乃,GgMiDn	㝦
宀女人人土,GgWnHrEt	㝧
宀土口𧘇,GgEtKkQi	㝨
宀广氺,GgBgWjMs	㝩
宀土丸,GgEtSyLo	㝪
宀阝夂一生,GgXeJiIs	㝫
宀丰口夫,GgJfKkGf	㝬
宀忄日生,GgLxUrIs	㝭
宀屮凵示又,GgMcJkTy	㝮
宀丿大口冂口,GgTpIdKk	㝯
宀自穴方,GgViAxMf	㝰
宀爿艹罒冖夕,GgJpZcVx	㝱
宀爿卝罒冖彐冖巾,GgJpZcAj	㝲
一⺗,DiLx	㝳
二儿寸,NeReOc	㝴
日一寸,UrDiOc	㝵
罒儿寸,BsReOc	㝶
彐工几丶寸,WjLgQjOc	㝷
小白儿,IxJbRe	㝸
小丿兔,IxTpAt	㝹
䒑小丿,NbWjRhTp	㝺
廿口龶小丿,PnKkJfTp	㝻
尢一𬺰,VyDiPs	㝼
尢水,VyMs	㝽
尢𠂇工,VyPsLg	㝾
尢皮,VyNp	㝿
尢𠂇火,VyPsRh	㞀
尢日匕,VyUrWb	㞁
尢爫女,VyIaWn	㞂
谷尤,YgVy	㞃
尢大日乚,VyIdUrAe	㞄
尢田木,VyCtYm	㞅
尢大可,VyIdEk	㞆
尢田一,VyCtDiQi	㞇
尢户𠕁,VyDhYc	㞈
尢⺶工,VySyLg	㞉
屮凵示尢,McJkLsVy	㞊
尸又,FsTy	㞋
尸子,FsHi	㞌
尸丸,FsLo	㞍
尸巴,FsBb	㞎
尸丿之,FsTpXi	㞏
尸立,FsXl	㞐
尸毛,FsQm	㞑
尸自,FsVi	㞒
尸匕日,FsWbUr	㞓
尸夕夕,FsVxVx	㞔
尸八⺝,FsNbFy	㞕
尸木冂,FsYmJk	㞖
尸一氺丶,FsDiMsOd	㞗
尸豕丶,FsHsOd	㞘
尸毛水,FsQmMs	㞙
尸千臼,FsNqYj	㞚
尸彳匕日,FsGcWbUr	㞛
尸彳禾女,FsGcBhWn	㞜
戊⺊一小尸,MuFbDiFs	㞝
尸彳人人龰,FsGcHrLi	㞞
尸丷酉大,FsNbById	㞟
尸大丷日小,FsIdNbIx	㞠
尸工工工工𧘇,FsLgLgQi	㞡
屮一,McDi	㞢
屮八刀,McNbNd	㞣
山人,UsHr	㞤
山入,UsVu	㞥
山几,UsQj	㞦
山乃,UsDn	㞧
山子,UsHi	㞨
山几丶,UsQjOd	㞩
山,WjUs	㞪
山之,UsXi	㞫
山工,UsLg	㞬
大山,IdUs	㞭
山⺈丶,UsDdOd	㞮
己山,BjUs	㞯
山𠂉十,UsStPs	㞰
山日,UsUr	㞱
山口丨,UsKkHs	㞲
山斗,UsLd	㞳
山氏,UsZs	㞴
山文,UsLw	㞵
山文,UsLw	㞶
屮王,McRw	㞷
山不,UsRb	㞸
山可,UsEk	㞹
山矢,UsGs	㞺
山口一ㄅ,UsKkDiAe	㞻
乛水山,AeMsUs	㞼
山戉,UsMu	㞽
山尸匕,UsFsWb	㞾
山土㐅,UsEtEi	㞿
禾山,BhUs	㟀
山厂干,UsUcZg	㟁
山母,UsPm	㟂
山𠃌一口,UsAeDiKk	㟃
山羊,UsSy	㟄
山㐅凵儿,UsEiJkRe	㟅
山亻十,UsHrWbPs	㟆
山人人土,UsHrHrEt	㟇
山一氺丶,UsDiMsOd	㟈
山宀牛,UsGgXn	㟉
山爫子,UsIaHi	㟊
山丷口儿,UsNbKkRe	㟋
山龙,UsVlFs	㟌
山丶艮,UsOdPg	㟍
山爫女,UsIaWn	㟎
山亽ヿ口,UsZiAeKk	㟏
山艹亡,UsZcNw	㟐
山十冖子,UsPsGgHi	㟑
山丿口,UsWjTpKk	㟒
山㐅𠂇巾,UsEiPsAj	㟓
山亽ヿ口,UsZiAeKk	㟔
山口斗,UsKkLd	㟕
山王廾,UsRwZc	㟖
山八刀八刀,UsNbNdNd	㟗
山⺆土口,UsJkEtKk	㟘
山龷日,UsPnUr	㟙
木支山,YmRiUs	㟚
山扌甘,UsOsFg	㟛
山弓⺈小,UsCgDdIx	㟜
山立口,UsXlKk	㟝
山戈戈,UsAgAg	㟞
山龷八⺋,UsPnNbWj	㟟
山冂䒑山,UsJkNbUs	㟠
山丷夫⺋,UsNbGfWj	㟡
山大可,UsIdEk	㟢
山木八厶,UsYmNbIs	㟣
山氺,UsWjMs	㟤
山厶大彡,UsIsIdFs	㟥
山冖車,UsGgQc	㟦
山{双口}二ㄅ,UsPxNeAe	㟧
山山而,UsUsKe	㟨
民攵山,VmApUs	㟩
山田一,UsCtDiQi	㟪
山白水,UsJbMs	㟫
山臼丨又,UsYjHsTy	㟬
山民日,UsVmUr	㟭
山穴犬,UsAxAq	㟮
山宀各,UsGgKg	㟯
山冖日六,UsGgUrMl	㟰
山⺷灬,UsSyRh	㟱
山厂白小,UsUcJbIx	㟲
山覀木,UsUxYm	㟳
山鬼,UsEg	㟴
山罒一止,UsBsDiLi	㟵
山厂白小,UsUcJbIx	㟶
山艹亼口,UsZcZiKk	㟷
山白大十,UsJbIdPs	㟸
山耳卯,UsVeRm	㟹
山口丨女,UsNuKkWn	㟺
車斤山,QcSjUs	㟻
山敖,UsQa	㟼
山覀示,UsUxLs	㟽
山广肀用,UsBgIvGy	㟾
山艹犬廾,UsZcAqZc	㟿
鳥山,GnUs	㠀
山厶厶厶人彡,UsIsIsFs	㠁
山敖,UsQa	㠂
山冂古,UsXlJkOg	㠃
山羽白,UsWvJb	㠄
山彳𠂉日夂,UsGcStJi	㠅
山{双口}田十,UsPxCtPs	㠆
山小尤,UsQgIxVy	㠇
山門王,UsSmRw	㠈
山立里,UsXlAl	㠉
山虍业,UsShOy	㠊
山口{双口}二ㄅ,UsKkPxAe	㠋
山欠,UsFgNbPq	㠌
山隹木,UsMiYm	㠍
山隹木,UsMiYm	㠎
山艹艹,UsZcOsZc	㠏
山丿大口冂口,UsTpIdKk	㠐
山罒非,UsBsLf	㠑
山覀示刂,UsUxLsNd	㠒
山艹冖一豕,UsZcGgHs	㠓
山辟,UsMp	㠔
山阝鬼,UsXeEg	㠕
山⺷丿扌,UsSyTpAg	㠖
山丿冂米大,UsTpJkId	㠗
山一ㄅ丨,UsYjDiNb	㠘
山豕,UsQgHs	㠙
山业⺷寸,UsOySyOc	㠚
山艹隹又,UsZcMiTy	㠛
山匕矢龴疋,UsWbGsEs	㠜
山夫夫貝,UsGfGfRb	㠝
{微框}王山,WwRwUs	㠞
山禾人氺,UsBhNdMs	㠟
山虍田皿,UsShCtHm	㠠
山衣馬,UsQiNm	㠡
山鬼衣,UsEgQi	㠢
山厂禾禾止,UsUcBhLi	㠣
山衣{双口}井一,UsQiPxDi	㠤
山田田田土,UsCtCtEt	㠥
山山丰丰豆,UsUsJfGd	㠦
山麻非,UsAmLf	㠧
山木乂乂木罒寸,UsYmEiOc	㠨
亾,NwKc	㠩
工一,LgDi	㠪
工几丶夫,LgQjOdGf	㠫
工口夫,LgKkGf	㠬
工工工工,LgLgLgLg	㠭
䒑业日工,NbOyUrLg	㠮
㠯,Ti	㠯
力口己,ClKkBj	㠰
己,BjFgNb	㠱
巾匕,AjWb	㠲
入巾,VuAj	㠳
巾刀丶,AjNdOd	㠴
亡巾,NwAj	㠵
巾丿几,AjTpQj	㠶
巾及,AjFj	㠷
巾夫,AjGf	㠸
巾人,AjHrNd	㠹
巾小丿,AjIxTp	㠺
耂巾,RlAj	㠻
巾斤,AjSj	㠼
巾夂゛,AjJiGb	㠽
夕⺋巾,VxWjAj	㠾
止匕巾,LiWbAj	㠿
㡀,Ib	㡀
巾大二ㄅ,AjIdNeAe	㡁
歹刂巾,SdNdAj	㡂
巾亾,AjNwKc	㡃
巾勹日,AjAkUr	㡄
巾夕夕,AjVxVx	㡅
巾亡,AjNwKc	㡆
巾耳㇗,AjVeAe	㡇
巾儿,AjAtRe	㡈
巾弓亠幺,AjCgLtDy	㡉
巾⺈臼,AjDdYj	㡊
巾大日乚,AjIdUrAe	㡋
巾⺜⺝,AjUrFy	㡌
白大巾,JbIdAj	㡍
巾厶大彡,AjIsIdFs	㡎
巾亼⺝刂,AjZiFyNd	㡏
巾䒑⺝刂,AjNbFyNd	㡐
禾火巾,BhRhAj	㡑
巾⺁十目,AjUcPsEm	㡒
巾冖車,AjGgQc	㡓
予丿攵巾,OvTpApAj	㡔
巾艹冂大,AjZcJkId	㡕
巾千里,AjNqAl	㡖
巾⺁虎,AjUcSh	㡗
巾䒑,AjNbWjRh	㡘
巾丿龱匕,AjTpKlWb	㡙
巾井王冂,AjVjRwJk	㡚
巾艹亡,AjZcNwKc	㡛
巾示,AjNbLs	㡜
巾夂丰辶,AjJiJfJc	㡝
巾口丨女,AjNuKkWn	㡞
巾一曲日,AjDiEqUr	㡟
巾癶豆,AjNbGd	㡠
巾厂豆寸,AjUcGdOc	㡡
巾日罒一,AjUrBsNd	㡢
冖巾立⺝{龍右},XlGgAjDa	㡣
巾业䒑未,AjOyNbVw	㡤
巾爫工彐心,AjIaLgLx	㡥
巾宀一貝,AjGgDiRb	㡦
巾穴癶豆,AjAxNbGd	㡧
巾人人戈非一,AjHrHrDi	㡨
言糹糹巾,DyFsFsAj	㡩
巾爫尸〢止巳夂,AjIaFsJi	㡪
幺日勹亾,DyUrAkNw	㡫
幺幺戊𠃌,DyDyMuAe	㡬
幺幺一幺幺㇗,DyDyDiAe	㡭
幺幺戊丶气,DyDyMuIq	㡮
广丿七,BgTpCq	㡯
广一𬺰,BgDiPs	㡰
广㇏,BgDdOd	㡱
广戈,BgAg	㡲
广氏,BgZs	㡳
广立,BgXl	㡴
广亽龴,BgZiIs	㡵
广口八,BgKkNb	㡶
广木一,BgYmDi	㡷
广乍,BgAa	㡸
广且,BgHq	㡹
广日一,BgUrDi	㡺
广卯,BgRm	㡻
广日㇂丿,BgUrAeTp	㡼
广聿,BgIv	㡽
广艮,BgPg	㡾
广䒑,BgNbMc	㡿
广木冂,BgYmJk	㢀
广夕夕,BgVxVx	㢁
广丿㠯,BgTpTi	㢂
广丶艮,BgOdPg	㢃
广豆,BgGd	㢄
广王廾,BgRwZc	㢅
广里,BgAl	㢆
广言,BgDy	㢇
广隹,BgMi	㢈
广禾丿七,BgBhTpCq	㢉
广大可,BgIdEk	㢊
广亻夕夕,BgHrVxVx	㢋
广阝可,BgXeEk	㢌
广艹冂大,BgZcJkId	㢍
广千臼,BgNqYj	㢎
广亼⺝刂,BgZiFyNd	㢏
广冎口,BgUgKk	㢐
广隹十,BgMiPs	㢑
广虍且,BgShHq	㢒
广音十,BgWyPs	㢓
广彳人人龰,BgGcHrLi	㢔
广乡隹,BgRxMi	㢕
广丿米田,BgTpFmCt	㢖
广丿大口冂口,BgTpIdKk	㢗
广䒑〢灬,BgNbWjRh	㢘
广廿口龶力,BgPnKkCl	㢙
广虍田力,BgShCtCl	㢚
广僉,BgVq	㢛
广廿田心,BgPnCtLx	㢜
广魚禾,BgAvBh	㢝
广羽田龷八,BgWvCtNb	㢞
止廴,LiRy	㢟
冂口廴,JkKkRy	㢠
爿寸廾,JpFyOcZc	㢡
尚攵廾,SsApZc	㢢
艹句攵廾,ZcEjApZc	㢣
十弋刀,PsXiNd	㢤
冂一口弋,JkDiKkXi	㢥
可可弋,EkEkXi	㢦
弓一,CgDi	㢧
弓干,CgZg	㢨
弓勹丶,CgAkOd	㢩
弓二ㄅ,CgNeAe	㢪
弓山,CgUs	㢫
弓𠂇厶,CgPsIs	㢬
弓攴,CgAp	㢭
弓𠂉也,CgStEy	㢮
弓民,CgVm	㢯
弓皮,CgNp	㢰
弓厶小,CgIsIx	㢱
弓弓,CgCgNb	㢲
弓𠂉,CgStQi	㢳
弓丿,CgTpKl	㢴
弓亼口,CgZiKk	㢵
弓一白,CgDiJb	㢶
弓山夕,CgUsVx	㢷
弓弓攵,CgCgAp	㢸
弓辛,CgSx	㢹
弓立女,CgXlWn	㢺
弓禾女,CgBhWn	㢻
弓㡀,CgIb	㢼
弓耳弓,CgVeCg	㢽
弓覀土,CgUxEt	㢾
弓亻矢,CgHrVkGs	㢿
弓十目,CgPsEmNb	㣀
弓龷丿用,CgPnTpGy	㣁
弓鬲,CgUg	㣂
弓⺝弓,CgZyFyCg	㣃
弓氵匚コ木,CgMsVkYm	㣄
弓旡旡日,CgCuCuUr	㣅
弓一王,CgDiIbRw	㣆
彑巾,WjFsAj	㣇
彑巾彑巾,WjFsAjAj	㣈
工彡,LgFs	㣉
夂彡,JiFs	㣊
井丶彡,VjOdFs	㣋
⺊口彡,FbKkFs	㣌
厶口彡,IsKkFs	㣍
白小彡,JbIxFs	㣎
大日十彡,IdUrPsFs	㣏
白水彡,JbMsFs	㣐
广肀用彡,BgIvGyFs	㣑
丷囗⺌曰彡,NbAkIxFs	㣒
歺又米彡,SdTyFmFs	㣓
彳丁,GcPd	㣔
彳大,GcId	㣕
彳大丶,GcIdOd	㣖
彳户,GcDh	㣗
彳句,GcEj	㣘
彳由,GcUy	㣙
彳冂一口,GcJkDiKk	㣚
彳亼口,GcZiKk	㣛
彳一廾刂,GcDiZcNd	㣜
彳戈𠂇,GcAgPs	㣝
彳八厶儿,GcNbIsRe	㣞
彳士口,GcJsKk	㣟
彳丨夂゛,GcHsJiGb	㣠
彳亻口丨,GcHrKkHs	㣡
彳丷𢎨,GcNbXf	㣢
彳大入入,GcIdVuVu	㣣
彳戈戈,GcAgAg	㣤
彳亻土寸,GcHrEtOc	㣥
彳禾女,GcBhWn	㣦
彳幺⺝乚,GcDyFyAe	㣧
彳女古,GcWnOg	㣨
彳木木,GcYmYm	㣩
彳爫一𠂇又,GcIaDiTy	㣪
彳千里,GcNqAl	㣫
彳口耳,GcKkVe	㣬
彳㐅凵八夂,GcEiJkJi	㣭
彳十冂,GcPsJkSy	㣮
彳尸⺌⺝,GcFsIxFy	㣯
彳丿米心,GcTpFmLx	㣰
彳龶貝,GcJfRb	㣱
{微框}口,WwKk	㣲
彳𠂉卌一灬,GcStUxRh	㣳
彳黄,GcEh	㣴
彳土羊辶,GcEtSyJc	㣵
彳亠囗口日一,GcLtAkDi	㣶
彳宀心皿丁,GcGgLxPd	㣷
彳豕生,GcRhHsIs	㣸
彳广亻隹心,GcBgHrLx	㣹
⺗,Lx	㣺
乂心,EiLx	㣻
忄刀丶,LxNdOd	㣼
女心,WnLx	㣽
忄又丶,LxTyOd	㣾
忄勹丶,LxAkOd	㣿
兦心,NwLx	㤀
一大心,DiIdLx	㤁
及心,FjLx	㤂
忄方,LxMf	㤃
忄一巾,LxDiAj	㤄
旡心,CuLx	㤅
忄⺁又,LxUcTy	㤆
忄丿大,LxTpId	㤇
忄心,LxLx	㤈
忄牙,LxRy	㤉
忄乂乂,LxEiEi	㤊
忄八刀,LxNbNd	㤋
忄甘,LxFg	㤌
工一ㄅ心,LgDiAeLx	㤍
力口心,ClKkLx	㤎
忄夂゛,LxJiGb	㤏
⺊口心,FbKkLx	㤐
忄𠂇口,LxPsKk	㤑
忄大十,LxIdPs	㤒
忄木一,LxYmDi	㤓
忄亻寸,LxHrOc	㤔
忄屮凵,LxMcJk	㤕
忄宀丁,LxGgPd	㤖
㇏⺗,JfOdLx	㤗
忄⺈彐,LxDdWj	㤘
囗コ心,AkVkLx	㤙
忄行,LxPx	㤚
忄亻丿士,LxHrTpJs	㤛
忄戊丶,LxMuOd	㤜
忄儿,LxZyRe	㤝
忄宀丿七,LxGgTpCq	㤞
曲心,EqLx	㤟
歹刂心,SdNdLx	㤠
忄歹刂,LxSdNd	㤡
忄𠂇⺝,LxPsFy	㤢
䒑廾心,NbZcLx	㤣
忄日,LxUrEi	㤤
忄亥,LxXh	㤥
忄一口,LxDiKkEi	㤦
忄⺁一口,LxUcDiKk	㤧
忄龷八,LxPnNb	㤨
各心,KgLx	㤩
一夕⺋心,DiVxWjLx	㤪
𠂇⺝心,PsFyLx	㤫
忄土土,LxEtEt	㤬
忄丿大,LxTpIdNd	㤭
犭王心,AqRwLx	㤮
忄冂八口,LxJkNbKk	㤯
亻乍心,HrAaLx	㤰
忄豆,LxGd	㤱
大人人心,IdHrHrLx	㤲
忄不口,LxRbKk	㤳
忄耳㇗,LxVeAe	㤴
子攵心,HiApLx	㤵
忄龙,LxVlFs	㤶
忄亽ヿ口,LxZiAeKk	㤷
忄土,LxEtRh	㤸
忄一氺丶,LxDiMsOd	㤹
忄亡,LxNwKc	㤺
卵心,UlLx	㤻
忄土厶力,LxEtIsCl	㤼
忄寸,LxJfOc	㤽
忄冖八木,LxGgNbYm	㤾
