㐀	21{卢字头}1
㣹	彳广亻心
㣺	2{横三点}
㣻	乂心
㣼	忄刀4
㣽	女心
㣾	忄又4
㣿	忄勹4
㤀	入5心
㤁	1大心
㤂	及心
㤃	忄方
㤄	忄1巾
㤅	旡心
㤆	忄{反字框}又
㤇	忄3大
㤈	忄心
㤉	忄牙
㤊	忄乂乂
㤋	忄八刀
㤌	忄甘
㤍	工15心
㤎	力口心
㤏	忄夂{冬字底}
㤐	{卢字头}口心
㤑	忄{左字框}口
㤒	忄大十
㤓	忄木1
㤔	忄亻寸
㤕	忄屮凵
㤖	忄宀丁
㤗	{寿字头}4{恭字底}
㤘	忄{负字头}彐
㤙	囗{叚右角}心
㤚	忄行
㤛	忄亻3士
㤜	忄戊4
㤝	忄{充字头}儿
㤞	忄宀3七
㤟	曲心
㤠	歹刂心
㤡	忄歹刂
㤢	忄{左字框}{青字底}
㤣	䒑廾心
㤤	忄日㐅
㤥	忄亥
㤦	忄1口㐅
㤧	忄{反字框}1口
㤨	忄龷八
㤩	各心
㤪	歹㔾心
㤫	{左字框}{青字底}心
㤬	忄土土
㤭	忄3大{乔字底}
㤮	犭王心
㤯	忄冂八口
㤰	亻乍心
㤱	忄豆
㤲	大人人心
㤳	忄不口
㤴	忄耳5
㤵	子攵心
㤶	忄尤彡
㤷	忄亽5口
㤸	忄土{亦字底}
㤹	忄1氺4
㤺	忄亡{荒字底}
㤻	卵心
㤼	忄土厶力
㤽	忄{寿字头}寸
㤾	忄冖八木
㤿	忄大日5
㥀	忄十{具字头无横}1
㥁	十罒5心
㥂	忄日1寸
㥃	忄門
㥄	忄土八夂
㥅	忄爫冖又
㥆	忄{聿三}氺
㥇	忄戈戈
㥈	巾{卢字头}口心
㥉	忄立口
㥊	忄月月
㥋	亻衣心
㥌	忄勹米
㥍	忄{其字头无横}{共字底}
㥎	禾{黎右角}心
㥏	忄{典字头}{共字底}
㥐	亼口卩心
㥑	三3{见二}心
㥒	忄爫木
㥓	忄大可
㥔	忄{充字头}{青字底}
㥕	火火心
㥖	{周字框}亠八心
㥗	忄日文
㥘	忄土厶4
㥙	忄口2心
㥚	忄臼人
㥛	忄了口1
㥜	忄田{青字底}
㥝	忄弓耳
㥞	忄䒑{豕省}
㥟	忄彑{豕省}
㥠	忄疋{青字底}
㥡	忄尸匕木
㥢	忄丷酉
㥣	大土土心
㥤	予3亽心
㥥	忄田{禺下}
㥦	匚大人心
㥧	忄頁
㥨	女土土心
㥩	忄耂日
㥪	忄米女
㥫	忄{享字头}日
㥬	忄{立无横}冖方
㥭	忄{寿字头}4氺
㥮	忄勹䶹䶹
㥯	爫工彐心
㥰	忄臼2又
㥱	忄匚非
㥲	十{具字头无横}{共字底}心
㥳	忄厂白小
㥴	忄{反字框}虎
㥵	忄囗豕
㥶	宀{寒字腰无横}{共字底}心
㥷	广大人心
㥸	民田心
㥹	米八刀心
㥺	忄土厶皿
㥻	戊禾心
㥼	忄1{止变}灬
㥽	忄龶貝
㥾	忄匚艹口
㥿	敖心
㦀	忄夂丰辶
㦁	車辶心
㦂	{尚头}巾心
㦃	忄{立无横}厂生
㦄	麻心
㦅	忄廿{见字底}巾
㦆	忄虍3{于无横}
㦇	忄鹿
㦈	忄{美字头}皿
㦉	忄士冖豆
㦊	忄艹干龷
㦋	忄大耂日
㦌	毛毛毛心
㦍	忄吅䒑䶹
㦎	忄{聿三}土1
㦏	忄巳巳八
㦐	忄弋二貝
㦑	忄5耳攵
㦒	忄罒言
㦓	忄{然左角}犬灬
㦔	日{青字底}犬心
㦕	忄阝夂生
㦖	忄門心
㦗	忄木木示
㦘	白方攵心
㦙	忄田{禺下}心
㦚	{辛变}心辛
㦛	{臼裂}15心
㦜	忄艹隹又
㦝	豸白儿心
㦞	士5工心
㦟	豸里心
㦠	忄业{美字头}寸
㦡	忄白幺木
㦢	忄{竹头}{即字旁}卩
㦣	行韋心
㦤	士冖豆心
㦥	忄宀丰心
㦦	忄門臼儿
㦧	忄{告字头}儿日
㦨	忄門束丷
㦩	忄阝爫心
㦪	忄言火又
㦫	忄{告字头}儿貝
㦬	忄罒糹隹
㦭	忄{雨头}口人
㦮	戈二
㦯	戈厶1
㦰	人人戈
㦱	1戈土
㦲	十戈{万无横}
㦳	十戈土
㦴	戈各
㦵	3未戈
㦶	戈至
㦷	龴{甬字底}戈
㦸	{卢字头}日十戈
㦹	日1勹戈
㦺	辰寸戈
㦻	羽白戈
㦼	{寿字头}4臼戈
㦽	{左字框}{青字底}戈巛
㦾	户也
㦿	户木
㧀	户及
㧁	户土厶
㧂	户田
㧃	扌丩
㧄	扌凵
㧅	扌刀
㧆	扌巾
㧇	扌冂1
㧈	扌弓
㧉	扌{卧人}16
㧊	扌1巾
㧋	扌犬
㧌	扌毛
㧍	扌方
㧎	扌牙
㧏	扌冂乂
㧐	扌又又
㧑	扌4{为字框}4
㧒	扌穴
㧓	扌瓜
㧔	扌戊
㧕	扌卯
㧖	扌户6
㧗	扌止匕
㧘	止匕手
㧙	扌心3
㧚	扌瓦
㧛	{临字旁}{临右角}手
㧜	扌匚巾
㧝	力口手
㧞	扌3{左字框}又
㧟	扌氵匚
㧠	扌厶小
㧡	扌亥
㧢	扌囗大
㧣	扌3未
㧤	扌{充字头}儿
㧥	扌{告字头}儿
㧦	扌勹日
㧧	扌{充字头}{荒字底}
㧨	扌{反字框}1口
㧩	扌{风省}1巾
㧪	扌{负字头}厂㔾
㧫	扌而
㧬	工几4手
㧭	工阝手
㧮	扌臼
㧯	扌老
㧰	扌{乐二}小
㧱	亼口手
㧲	扌宀木
㧳	扌八刀手
㧴	扌3扌戈
㧵	扌不口
㧶	扌身
㧷	扌3大口
㧸	扌{享字头}了
㧹	扌日1寸
㧺	扌水日
㧻	扌豕4
㧼	扌龶{衣省}
㧽	扌囗古
㧾	扌勹{横两撇}心
㧿	扌人人龰
㨀	扌{禾框}{聿三}
㨁	扌十{具字头无横}1
㨂	扌束1
㨃	扌{享字头}子
㨄	扌{周字框}土口
㨅	扌艹冂人
㨆	扌木木
㨇	氵皮手
㨈	扌齐二
㨉	扌民日
㨊	扌{左字框}工{青字底}
㨋	扌耂日
㨌	士冖手殳
㨍	土土寸手
㨎	扌而大
㨏	扌山{左字框}火
㨐	扌亻口木
㨑	扌乂凵夂
㨒	扌大土土
㨓	扌穴牛
㨔	扌戊1口
㨕	扌乃又皿
㨖	扌至攵
㨗	扌{卢字头}彐龰
㨘	扌{少三}3目
㨙	扌爫幺大
㨚	扌艹勹日
㨛	扌門人
㨜	扌虍文
㨝	扌尸{尚字头}{青字底}
㨞	扌龶糸
㨟	扌山豆
㨠	扌冖日六
㨡	扌囗豕
㨢	扌厶{青字底}匕
㨣	扌八厶羽
㨤	扌匚隹
㨥	扌糹冂人
㨦	扌隹又
㨧	扌厶大田
㨨	扌{留字头}田
㨩	扌广3廴
㨪	扌日光
㨫	扌{临字旁}{临右角}皿
㨬	扌土口{衣省}
㨭	扌户口巴
㨮	扌白{卬字旁}儿
㨯	扌{享字头}子阝
㨰	扌{衣框}八厶
㨱	扌{然左角}言
㨲	扌艹宀木
㨳	扌宀大可
㨴	扌十日6
㨵	扌䒑{青字底}刀
㨶	扌鳥
㨷	扌廿口龶
㨸	扌宀心山
㨹	扌丰丰彐
㨺	扌廿巾入
㨻	車斤手
㨼	田各手
㨽	扌1口刂
㨾	扌{美字头}4{永无点}
㨿	扌虍夂几
㩀	扌虍勹4
㩁	扌宀隹
㩂	扌{负字头}用斗
㩃	扌宀{寒字腰无横}{冬字底}
㩄	扌山田心
㩅	扌1{临字旁}田
㩆	扌{享字头}小尤
㩇	扌{聿三}土1
㩈	扌穴{聿三}口
㩉	扌亼口羽
㩊	扌爫罒寸
㩋	扌肀{乔字底}5
㩌	扌弗貝
㩍	扌{竹头}{木框}冂
㩎	扌日{青字底}犬
㩏	扌黑
㩐	扌{竹头}土寸
㩑	扌1大非
㩒	扌木木示
㩓	臼工殳手
㩔	扌尸龷殳
㩕	扌{雨头}亽龴
㩖	扌1田1
㩗	扌山隹乃
㩘	扌{美字头}3戈
㩙	扌宀{寒字腰无横}土
㩚	扌艹冖豕
㩛	扌囗{凬字心}寸
㩜	扌臣{临右角}皿
㩝	扌{亮字头}豕
㩞	扌火火木
㩟	扌宀{寒字腰无横}朩
㩠	扌鹿灬
㩡	扌石石石
㩢	扌艹罒4
㩣	扌羽冖車
㩤	扌甫方攵
㩥	扌十戈1
㩦	扌隹冂口
㩧	扌日龷氺
㩨	扌丰丰心
㩩	扌匕水頁
㩪	扌糹頁
㩫	扌斤斤貝
㩬	扌虍业戈
㩭	扌{臼裂}乂子
㩮	扌{臼裂}1手
㩯	扌{卧人}母糸
㩰	扌艹口木
㩱	扌爫罒寸
㩲	扌艹吅隹
㩳	扌隹隹又
㩴	扌目目隹
㩵	扌虍鬲犬
㩶	扌{竹头}1乂
㩷	扌宀{寒字腰无横}馬
㩸	扌田田4
㩹	扌田田且
㩺	{比字旁}匕支
㩻	{负字头}厂㔾支
㩼	夕夕支
㩽	束支
㩾	千艹士支
㩿	{卧人}6攵
㪀	1{于无横}攵
㪁	亽5攴
㪂	气攴
㪃	可攴
㪄	弗攵
㪅	1冂人攴
㪆	氏4攴
㪇	{告字头}儿攵
㪈	土土攴
㪉	亼口攵
㪊	{聿三}3口攴
㪋	日干攴
㪌	龴{甬字底}攴
㪍	十冖子攵
㪎	大人人攴
㪏	白3十攴
㪐	户犬攴
㪑	大日5攴
㪒	臼儿攴
㪓	千{北字旁}匕攴
㪔	木木攴
㪕	{卢字头}日十攴
㪖	{录字头}氺攴
㪗	立口攴
㪘	亼口人攵
㪙	田木攵
㪚	龷日攵
㪛	{其字头无横}{共字底}5攴
㪜	山而攴
㪝	束丷攴
㪞	{冒字头}目攴
㪟	{享字头}日攵
㪠	䒑{聿三}{兼无䒑无彐}攴
㪡	宀丰口攴
㪢	臼2又攴
㪣	高攵
㪤	日龷十攵
㪥	虍且攴
㪦	宀1由攵
㪧	亼口羽攴
㪨	羊䒑口攴
㪩	肀{乔字底}{北字旁}攴
㪪	1大非攴
㪫	{歺变}{谷字头}目攴
㪬	羽隹攴
㪭	虍田皿攴
㪮	{雨头}口口攴
㪯	文{举字底}
㪰	文米
㪱	文{负字头}{见二}大
㪲	斗5
㪳	斗5
㪴	二{见字底}斗
㪵	丷{举字底}斗
㪶	1白斗
㪷	豆斗
㪸	{其字头无横}{共字底}斗
㪹	口十口斗
㪺	{大框}目目斗
㪻	言糹糹斗
㪼	可斤
㪽	1日斤
㪾	各斤
㪿	䶹䶹斤
㫀	日日斤
㫁	幺幺1斤
㫂	广廿灬斤
㫃	方人
㫄	亠勹方
㫅	方{全字头}二{乔字底}
㫆	方{全字头}小
㫇	方{全字头}{冬字底}5
㫈	方{全字头}{冬字底}5
㫉	方{负字头}厂㔾
㫊	方{卧人}可
㫋	方{卧人}冂{里无日}
㫌	方{卧人}1{止变}
㫍	方{卧人}亻攵
㫎	方{卧人}冖車
㫏	方{卧人}覀女
㫐	日匕
㫑	日力
㫒	日廾
㫓	日{卧人}6
㫔	日{卢字头}1
㫕	日1{见字底}
㫖	{卢字头}1日
㫗	日子
㫘	不日
㫙	日夫
㫚	勹{横两撇}曰
㫛	日口儿
㫜	日日1
㫝	日氏4
㫞	日屮又
㫟	日几口
㫠	日丷{举字底}
㫡	日夂{冬字底}
㫢	日土厶
㫣	日日5
㫤	日4{永无点}
㫥	日夕口
㫦	亻2夂日
㫧	日米
㫨	日宀女
㫩	十廾日
㫪	{寿字头}42日
㫫	日1业
㫬	日勹日
㫭	日土寸
㫮	止匕日
㫯	日日1{见字底}
㫰	日4艮
㫱	日土{亦字底}
㫲	日十冖子
㫳	辰日
㫴	日耂子
㫵	日非
㫶	日彐冖巾
㫷	{其字头无横}{共字底}日
㫸	日1{聿三}龰
㫹	日戶斤
㫺	人人人日
㫻	日侖
㫼	日牛巾刂
㫽	日{录字头}氺
㫾	日小冂口
㫿	日隹
㬀	日{享字头}子
㬁	日氵亼口
㬂	日田{禺下}
㬃	日厶口火
㬄	日厂土{亦字底}
㬅	日罒方
㬆	日民日
㬇	日{负字头}{见二}大
㬈	日日皿
㬉	日而大
㬊	日爫1又
㬋	日亻{候右角}矢
㬌	日亠日小
㬍	日甫寸
㬎	日幺幺灬
㬏	日鬲
㬐	日1业日
㬑	日{享字头}子阝
㬒	日艹犬廾
㬓	日覀示
㬔	日羽{全字头}彡
㬕	日礻羊
㬖	日户攵口
㬗	日{然左角}犬灬
㬘	日肀{乔字底}5
㬙	日爫3灬
㬚	日{充字头}{青字底}攵
㬛	日亼口羽
㬜	至至日
㬝	日丷囗日
㬞	日山日亾
㬟	勹{横两撇}丷日
㬠	日{负字头}彐灬
㬡	日{雨头}亽龴
㬢	日{美字头}3戈
㬣	日业{美字头}寸
㬤	日日幺灬
㬥	日屮凵米
㬦	日艹隹又
㬧	日屮凵糸
㬨	日土{亦字底}{亦字底}
㬩	日丰丰心
㬪	日日日彑
㬫	廿口{北字旁}日
㬬	日目目隹
㬭	日爫罒寸
㬮	日廿口隹
㬯	日{赢字框}羊
㬰	日人
㬱	{告字头}儿{告字头}日
㬲	{凬字心}㐅{益字头}皿
㬳	月{卧人}十
㬴	月龷八
㬵	月六乂
㬶	月{告字头}口
㬷	月囗木
㬸	月艹亻{化字边}
㬹	月{尔字头}{争字底}
㬺	月丷夫巾
㬻	月艹亡{荒字底}
㬼	{左字框}{青字底}{卧人}夂
㬽	月口吅5
㬾	匚矢殳{青字底}
㬿	月{享字头}子攵
㭀	月{竹头}工人
㭁	木乃
㭂	木小
㭃	木幺
㭄	木5十
㭅	木三
㭆	乃1木
㭇	木厶儿
㭈	木{候右角}人
㭉	艹木
㭊	木片
㭋	木丰
㭌	木牛
㭍	冫七木
㭎	木冂乂
㭏	木韦
㭐	大1木
㭑	木未
㭒	木㠯
㭓	木厶廾
㭔	木3丷{于无横}
㭕	木土厶
㭖	木亻弋
㭗	木皿
㭘	木亼口
㭙	木土寸
㭚	木{卧人}{旅下角}
㭛	木{反字框}{旅下角}
㭜	木戈{左字框}
㭝	木木九
㭞	木{少三}3力
㭟	龷八木
㭠	木{告字头}儿
㭡	木3囗乂
㭢	木1廾刂
㭣	木门口
㭤	木鸟
㭥	木{负字头}贝
㭦	木宀3七
㭧	舟木
㭨	木牙阝
㭩	木爫寸
㭪	木甫
㭫	木人人土
㭬	木豕
㭭	木口力刂
㭮	木巛歹
㭯	木耳5
㭰	止匕{木框}冂
㭱	木匚甲
㭲	木谷
㭳	木耂子
㭴	木{临字旁}又土
㭵	木勹田
㭶	木艹方
㭷	木田力
㭸	木兔
㭹	木弓亠幺
㭺	木大日5
㭻	木尚
㭼	木水日
㭽	木广氏4
㭾	木尸屮凵
㭿	木日{卬字旁}卩
㮀	木5氺凵
㮁	木乂{左字框}{青字底}
㮂	{具字头无横}{共字底}木
㮃	木禾女
㮄	木亠勹方
㮅	木隹
㮆	木{全字头}羊
㮇	木1大{恭字底}
㮈	木大示
㮉	木亻夫丷
㮊	木予木
㮋	木{左字框}{青字底}阝
㮌	木面
㮍	䒑{青字底}刂木
㮎	木不皿
㮏	木木示
㮐	木{少三}3目
㮑	木千臼
㮒	木覀土
㮓	木忄1{冬字底}
㮔	木千里
㮕	木而大
㮖	木革
㮗	予3亽木
㮘	木予3攵
㮙	木吅二5
㮚	{卢字头}囗人木
㮛	木日{定字底}
㮜	木匚爿士
㮝	木谷阝
㮞	木冫欠口
㮟	木石木
㮠	木艹冖木
㮡	火匚{叚右角}木
㮢	木亻{候右角}矢
㮣	{即字旁}旡木
㮤	宀谷木
㮥	木厶大田
㮦	木十冖糸
㮧	木烏
㮨	木田八夊
㮩	木自心
㮪	木工几木
㮫	木宀丰口
㮬	木八厶羽
㮭	木龴囗{南字心}
㮮	木丰刀手
㮯	木囗豕
㮰	木3囗匕
㮱	木艹{告字头}儿
㮲	木勹䶹䶹
㮳	木月䒑大
㮴	木臼2又
㮵	木方{卧人}亠
㮶	木䒑䶹月
㮷	木尤匕日
㮸	木䒑大辶
㮹	木至攵
㮺	木1口口
㮻	木又4虫
㮼	木户羽
㮽	木舟殳
㮾	4{即字旁}月木
㮿	木日龷十
㯀	木方{卧人}疋
㯁	木阝立口
㯂	木廿{见字底}巾
㯃	木木{全字头}氺
㯄	木木{反字框}巴
㯅	木广白十
㯆	木{立无横}厂生
㯇	木非土
㯈	木束辶
㯉	木虍3{于无横}
㯊	木1{止变}灬
㯋	匕木頁
㯌	木豕辶
㯍	木爿{然左角}寸
㯎	木言木
㯏	士{眉字框}殳木
㯐	阝{左字框}工木
㯑	木弓{镸无厶}{畏字底}
㯒	木爫見
㯓	木亼口羽
㯔	毛毛毛木
㯕	木{其字头无横}{共字底}斤
㯖	木十罒心
㯗	木門木
㯘	木士示欠
㯙	木{充字头}{青字底}攵
㯚	木{竹头}亼口
㯛	木士冖2
㯜	木艹亠十
㯝	木{足旁}各
㯞	木糹口{青字底}
㯟	木木{录字头}氺
㯠	木亠幺牛
㯡	木{全字头}氺巳
㯢	木巳巳八
㯣	木艹八木
㯤	{木框}人人人
㯥	束1束1
㯦	木{其字头无横}{共字底}木
㯧	木走刀口
㯨	木覀米
㯩	又又又弓
㯪	木{雨头}亽龴
㯫	木虍豕
㯬	木木聿廴
㯭	木虍田力
㯮	木罒勹虫
㯯	木夂㐄貝
㯰	木罒十1
㯱	十口冖木
㯲	木木木示
㯳	木艹句攵
㯴	木艹宀谷
㯵	木艹千里
㯶	木{鬯字头无凵}凵夂
㯷	木亻业4
㯸	木肀1皿
㯹	木覀示寸
㯺	臣{临右角}罒木
㯻	十口冖木
㯼	木艹土皿
㯽	木宀{眉字框}貝
㯾	木1曲辶
㯿	木巛{巤字底}
㰀	木禾{黎右角}氺
㰁	木石石石
㰂	木宀3田
㰃	木白巾糸
㰄	木貝戈戈
㰅	木{立无横}冂辶
㰆	十口冖木
㰇	木十戈1
㰈	木木車辶
㰉	木至{寿字头}禾
㰊	木土八火
㰋	木止{步字底}頁
㰌	木{雨头}隹
㰍	立{青字底}{龍字边}木
㰎	木山隹冂
㰏	木{竹头}高
㰐	木阝{左字框}辶
㰑	木心心木
㰒	木{臼裂}乂子
㰓	木臣{临右角}貝
㰔	木言火又
㰕	木{美字头}禾戈
㰖	木臣{临右角}見
㰗	木戊{卢字头}足
㰘	木彑米廾
㰙	木廿口隹
㰚	木亠乂隹
㰛	木艹白木
㰜	木匕目頁
㰝	巳欠
㰞	山欠
㰟	气欠
㰠	亠几欠
㰡	{全字头}{乔字底}欠
㰢	1廾欠
㰣	止匕欠
㰤	可欠
㰥	廿5欠
㰦	土厶欠
㰧	厶口欠
㰨	口八欠
㰩	虫欠
㰪	土土欠
㰫	{告字头}儿欠
㰬	勹日欠
㰭	大二5欠
㰮	辰欠
㰯	豆欠
㰰	大人人欠
㰱	千日欠
㰲	戈口1欠
㰳	三21欠
㰴	立口欠
㰵	亠人人欠
㰶	夂卜口欠
㰷	歹匕欠
㰸	亼口人欠
㰹	戊1口欠
㰺	{叚字旁无二}二{叚右角}欠
㰻	壴欠
㰼	匚大人欠
㰽	匚日女欠
㰾	白方欠
㰿	爫幺大欠
㱀	勹䶹勹欠
㱁	屮凵示欠
㱂	广{聿三}氺欠
㱃	亽5酉欠
㱄	黑欠
㱅	士冖豆欠
㱆	虍豆欠
㱇	土人人欠
㱈	木木示欠
㱉	业䒑未欠
㱊	三3{见二}欠
㱋	{雨头}隹欠
㱌	耳耳耳欠
㱍	言糹糹欠
㱎	罒{鳏下角}魚欠
㱏	11{止变}
㱐	二4止
㱑	止夕
㱒	止可
㱓	止亽龴
㱔	止匕夕
㱕	止彐冖巾
㱖	止亠人十
㱗	止自犬
㱘	厂日{青字底}止
㱙	歹15
㱚	歹月
㱛	歹歹
㱜	歹龰
㱝	歹匕力
㱞	歹立
㱟	歹皮
㱠	歹古
㱡	歹{告字头}儿
㱢	歹4艮
㱣	歹爫女
㱤	歹木斤
㱥	歹土八夂
㱦	歹大可
㱧	歹宀夕㔾
㱨	歹宀{定字底}
㱩	歹十5大
㱪	歹民日
㱫	歹束丷
㱬	歹田1{畏字底}
㱭	歹{段字旁无横}1殳
㱮	歹{贵字头}贝
㱯	歹山豆
㱰	歹宀辛
㱱	歹鬼
㱲	歹{益字头}皿
㱳	艹日大歹
㱴	歹龶貝
㱵	歹十艹貝
㱶	歹壴彡
㱷	歹隹木
㱸	歹辟
㱹	歹厂禾止
㱺	歹虍田皿
㱻	歹{赢字框}羊
㱼	巳殳
㱽	冖{见字底}殳
㱾	亥殳
㱿	士冂1殳
㲀	辰殳
㲁	穴工殳
㲂	尚殳
㲃	{卢字头}日十殳
㲄	士冖王殳
㲅	宀丰口殳
㲆	士{眉字框}殳龴
㲇	士{眉字框}殳{冬字底}
㲈	士{眉字框}殳口
㲉	士冖1殳
㲊	{卢字头}53殳
㲋	{免五}{比字旁}匕
㲌	毛乃
㲍	支毛
㲎	毛毛
㲏	片毛
㲐	毛亽5
㲑	毛水
㲒	句毛
㲓	毛戊4
㲔	辛毛
㲕	爫寸毛
㲖	{尚字头}{青字底}毛
㲗	爫子毛
㲘	貝毛
㲙	毛{充字头}{荒字底}
㲚	氵{少三}3毛
㲛	矢口毛
㲜	火火毛
㲝	毛隹
㲞	亠人人毛
㲟	艹{见二}大毛
㲠	未攵毛
㲡	木示毛
㲢	户{扁字心}毛
㲣	臼2又毛
㲤	{衣框}口1毛
㲥	广肀口毛
㲦	十日十毛
㲧	毛又4虫
㲨	艹耳毛
㲩	毛日羽
㲪	癶豆毛
㲫	业{差字头}4毛
㲬	隹灬毛
㲭	火火火毛
㲮	毛{竹头}亼口
㲯	臣{临右角}皿毛
㲰	宀心皿毛
㲱	毛巛{巤字底}
㲲	田田田毛
㲳	氏43夫
㲴	气口2
㲵	气{尚字头}{青字底}
㲶	气{卢字头}{鹵字底}
㲷	气吅田十
㲸	氵6
㲹	氵几
㲺	氵七
㲻	亻水
㲼	氵乂
㲽	氵刀4
㲾	宀水
㲿	氵广
㳀	氵戈
㳁	氵厂人
㳂	氵八厶
㳃	氵九十
㳄	氵欠
㳅	氵不
㳆	氵斗
㳇	氵八乂
㳈	氵十35
㳉	氵月
㳊	氵攵
㳋	氵{丘无横}1
㳌	氵甲
㳍	氵{左字框}巾
㳎	氵厶廾
㳏	氵口㐅
㳐	氵木5
㳑	氵皿
㳒	氵大厶
㳓	氵{左字框}口
㳔	氵又寸
㳕	氵丷三
㳖	氵衣
㳗	氵又4土
㳘	氵{充字头}儿
㳙	氵厶{青字底}
㳚	氵戊4
㳛	氵臼人
㳜	氵亻木
㳝	氵亻3士
㳞	氵亻口2
㳟	龷八氺
㳠	氵大辶
㳡	氵寸辶
㳢	氵3大{乔字底}
㳣	氵老
㳤	氵廾
㳥	氵王廾
㳦	氵戈廾
㳧	氵耳5
㳨	氵巛歹
㳩	氵工{周字框}亠
㳪	氵不口
㳫	水臼
㳬	氵{卧人}疋
㳭	氵口木
㳮	氵尸水
㳯	氵辛
㳰	氵{充字头}廾
㳱	氵阝日
㳲	氵氵大4
㳳	氵古{见字底}
㳴	氵心3土
㳵	氵禾子
㳶	氵爫子5
㳷	氵勹{横两撇}日
㳸	氵艹亻{化字边}
㳹	氵木王
㳺	氵扌{卧人}子
㳻	氵龷日
㳼	戈口1水
㳽	氵弓{尔字头}小
㳾	氵{差字头}5
㳿	氵{充字头}木
㴀	氵艹3之
㴁	氵1大井
㴂	氵工冂{里无日}
㴃	氵户水
㴄	氵囗八{见二}
㴅	水囗八口
㴆	氵彐冖巾
㴇	水水水
㴈	氵{丘无横}1山
㴉	氵厶厶二
㴊	氵䒑䶹刂
㴋	氵肀{乔字底}八
㴌	氵女古
㴍	氵5水三
㴎	氵大示
㴏	氵穴王
㴐	氵目15
㴑	氵广䒑䶹
㴒	氵亠{亦字底}廾
㴓	氵田心
㴔	氵{负字头}彐心
㴕	氵艹禾
㴖	氵革
㴗	氵覀女
㴘	氵{冒字头}目
㴙	氵千臼
㴚	氵䒑{豕省}
㴛	氵至攵
㴜	氵户{扁字心}
㴝	禾刂{全字头}水
㴞	氵爫2日
㴟	氵厂日子
㴠	氵了口凵
㴡	氵禾日
㴢	氵氵亻2
㴣	氵氵{大框}弓
㴤	氵木4王
㴥	氵山{尚字头}{青字底}
㴦	氵宀口口
㴧	氵自心
㴨	氵月䒑大
㴩	氵巛口巴
㴪	氵自木
㴫	氵{聿三}3阝
㴬	氵身寸
㴭	氵穴目
㴮	氵尸{尚字头}{青字底}
㴯	氵月匕日
㴰	氵厶{青字底}匕
㴱	氵穴大丷
㴲	氵{反字框}虎
㴳	氵土尤彡
㴴	氵火55
㴵	氵心3皿
㴶	氵冖隹
㴷	氵耳冖{见字底}
㴸	氵門人
㴹	氵米辶
㴺	氵氵大人
㴻	氵豆寸
㴼	氵宀亻白
㴽	氵3米心
㴾	氵十冖攵
㴿	氵丁頁
㵀	氵方{卧人}矢
㵁	氵艹{充字头}儿
㵂	氵广廿灬
㵃	氵虫宀匕
㵄	氵戈口大
㵅	氵亽5貝
㵆	氵日{告字头}口
㵇	氵舌甘
㵈	氵氵女古
㵉	氵氵木木
㵊	氵日耳又
㵋	氵罒貝
㵌	氵彳{反字框}目
㵍	氵門心
㵎	氵門月
㵏	氵艹亠十
㵐	氵厂䒑欠
㵑	氵力口貝
㵒	氵弗貝
㵓	氵宀日{定字底}
㵔	氵大耂日
㵕	氵厶厶{恭字底}
㵖	氵女口糸
㵗	冫馬水
㵘	水水水水
㵙	氵壴口
㵚	氵八乂金
㵛	氵羊䒑口
㵜	氵氵十{南字心}
㵝	氵衣冂口
㵞	氵禾火心
㵟	氵{微字框}几
㵠	氵穴尸凵
㵡	氵{雨头}勹巳
㵢	氵{雨头}田
㵣	氵日勹欠
㵤	氵羽大人
㵥	氵宀心皿
㵦	氵{左字框}工辶
㵧	氵艹日亾
㵨	辟水
㵩	氵艹廿木
㵪	氵{美字头}冫欠
㵫	氵子子日
㵬	氵月乃皿
㵭	氵耂日灬
㵮	氵大革1
㵯	氵{风省}1鳥
㵰	氵{臼裂}1八
㵱	氵覀示寸
㵲	氵{卧人}卌㐄
㵳	氵宀羽彡
㵴	氵{臧字框}臣
㵵	氵耳又{乑无撇}
㵶	氵十戈隹
㵷	{辛变}氵辛
㵸	氵亼吅{扁字心}
㵹	氵山艹大
㵺	氵{竹头}白十
㵻	氵月臼又
㵼	氵冖臼灬
㵽	氵田田田
㵾	氵龶{青字底}見
㵿	氵白白白
㶀	氵月羽彡
㶁	氵爫寸虎
㶂	氵氵黄
㶃	氵氵{卧人}灬
㶄	氵門{负字头}臼
㶅	氵{臼裂}乂子
㶆	氵言耂日
㶇	氵木黄
㶈	氵火火虫
㶉	氵爫幺鸟
㶊	氵臣頁
㶋	氵业{豕省}生
㶌	氵耳幺1
㶍	氵魚羊
㶎	氵罒1辶
㶏	氵阝爫心
㶐	氵广亻心
㶑	氵僉欠
㶒	氵門馬
㶓	氵艹{臧字框}臣
㶔	氵罒罒大
㶕	氵{竹头}門日
㶖	氵亻2黑
㶗	{卧人}母糸水
㶘	氵{竹头}覀十
㶙	氵氵业生
㶚	氵覀革月
㶛	氵方{卧人}八
㶜	氵尸䒑刂
㶝	氵氵广心
㶞	氵日{衣框}1
㶟	氵田田糸
㶠	氵馬罒{南字心}
㶡	{风省}火
㶢	火九
㶣	干火
㶤	火夕
㶥	火干
㶦	火予
㶧	火冂人
㶨	不灬
㶩	火冖{见字底}
㶪	不火
㶫	大丷火
㶬	火1木
㶭	火幺力
㶮	1冂人火
㶯	火卯
㶰	火甘
㶱	火木1
㶲	火用
㶳	{聿三}土火
㶴	火夕夕
㶵	亻3士灬
