㐀	21{卢字头}1
㠴	巾刀4
㠵	亡巾
㠶	巾3几
㠷	巾及
㠸	巾夫
㠹	巾{全字头}{乔字底}
㠺	巾{少三}3
㠻	耂巾
㠼	巾斤
㠽	巾夂{冬字底}
㠾	夕㔾巾
㠿	止匕巾
㡀	㡀
㡁	巾大二5
㡂	歹刂巾
㡃	巾亾{荒字底}
㡄	巾勹日
㡅	巾夕夕
㡆	巾亡{荒字底}
㡇	巾耳5
㡈	巾{免五}{见字底}
㡉	巾弓亠幺
㡊	巾{负字头}臼
㡋	巾大日5
㡌	巾{冒字头}{青字底}
㡍	白大巾
㡎	巾厶大彡
㡏	巾亼{青字底}刂
㡐	巾䒑{青字底}刂
㡑	禾火巾
㡒	巾{反字框}十目
㡓	巾冖車
㡔	予3攵巾
㡕	巾艹{见二}大
㡖	巾千里
㡗	巾{反字框}虎
㡘	巾䒑{聿三}{兼无䒑无彐}
㡙	巾3囗匕
㡚	巾{寒字腰无横}{噩字框}冂
㡛	巾艹亡{荒字底}
㡜	巾{祭字头}示
㡝	巾夂丰辶
㡞	巾口十女
㡟	巾1曲日
㡠	巾癶豆
㡡	巾厂豆寸
㡢	巾日罒方
㡣	{立无横}冖巾{龍字边}
㡤	巾业䒑未
㡥	巾爫工心
㡦	巾宀1貝
㡧	巾穴癶豆
㡨	巾人人1
㡩	言糹糹巾
㡪	巾爫尸夂
㡫	幺日勹亾
㡬	幺幺戈{万无横}
㡭	幺幺15
㡮	幺幺戈气
㡯	广3七
㡰	广1{于无横}
㡱	广{久二}4
㡲	广戈
㡳	广氏
㡴	广立
㡵	广亽龴
㡶	广口八
㡷	广木1
㡸	广乍
㡹	广且
㡺	广日1
㡻	广卯
㡼	广日53
㡽	广聿
㡾	广艮
㡿	广䒑䶹
㢀	广{木框}冂
㢁	广夕夕
㢂	广3㠯
㢃	广4艮
㢄	广豆
㢅	广王廾
㢆	广里
㢇	广言
㢈	广隹
㢉	广禾3七
㢊	广大可
㢋	广亻夕夕
㢌	广阝可
㢍	广艹{见二}大
㢎	广千臼
㢏	广亼{青字底}刂
㢐	广咼
㢑	广隹十
㢒	广虍且
㢓	广音十
㢔	广彳人龰
㢕	广乡隹
㢖	广3米田
㢗	广3大口
㢘	广䒑{聿三}灬
㢙	广廿口力
㢚	广虍田力
㢛	广僉
㢜	广廿田心
㢝	广魚禾
㢞	广羽田八
㢟	{延字心无撇}廴
㢠	冂口廴
㢡	爿{然左角}寸廾
㢢	尚攵廾
㢣	艹句攵廾
㢤	十弋{万无横}
㢥	冂1口弋
㢦	可可弋
㢧	弓1
㢨	弓干
㢩	弓勹4
㢪	弓二5
㢫	弓山
㢬	弓{左字框}厶
㢭	弓攴
㢮	弓{卧人}也
㢯	弓民
㢰	弓皮
㢱	弓厶小
㢲	弓弓1八
㢳	弓{卧人}{旅下角}
㢴	弓囗{横两撇}4
㢵	弓亼口
㢶	弓1白
㢷	弓山夕
㢸	弓弓攵
㢹	弓辛
㢺	弓立女
㢻	弓禾女
㢼	弓㡀
㢽	弓耳弓
㢾	弓覀土
㢿	弓亻{候右角}矢
㣀	弓十{具字头无横}{共字底}
㣁	弓龷3{甬字底}
㣂	弓鬲
㣃	弓{充字头}{青字底}弓
㣄	弓氵匚木
㣅	弓旡旡日
㣆	弓1八王
㣇	彑33巾
㣈	彑33巾
㣉	工彡
㣊	攵彡
㣋	井4彡
㣌	{卢字头}口彡
㣍	厶口彡
㣎	白小彡
㣏	大日十彡
㣐	白水彡
㣑	广肀{甬字底}彡
㣒	丷囗{尚字头}彡
㣓	歺又米彡
㣔	彳丁
㣕	彳大
㣖	彳大4
㣗	彳戶
㣘	彳句
㣙	彳由
㣚	彳冂1口
