㖐	(吅{聿三}{撇类},PxWjTp,wěi,CJK-A)
㖑	(口戈廾,KkAgZc,xiè,CJK-A)
㖒	(口丷{弟省},KkNbXf,tí,CJK-A)
㖓	(口夂丰,KkJiJf,hóng,CJK-A)
㖔	(口{撇类}大口,KkTpIdKk,tǔn,CJK-A)
㖕	(口辛,KkSx,niè_xīn,CJK-A)
㖖	(辛口,SxKk,niè,CJK-A)
㖗	(口山亽{折类},KkUsZiAe,yín,CJK-A)
㖘	(口辰,KkSc,zhēn,CJK-A)
㖙	(力口口匕,ClKkKkWb,0,CJK-A)
㖚	(亻寸口匕,HrOcKkWb,0,CJK-A)
㖛	(古口匕,OgKkWb,0,CJK-A)
㖜	(亠口口匕,LwKkKkWb,0,CJK-A)
㖝	(未口匕,VwKkWb,0,CJK-A)
㖞	(口口冂人,KkKkJkHr,wāi,CJK-A)
㖟	(口爫冖又,KkIaGgTy,shòu,CJK-A)
㖠	(口大示,KkIdLs,nuò,CJK-A)
㖡	(口亠亻{夜下角},KkLwHrFy,yè,CJK-A)
㖢	(口广止匕,KkBgLiWb,qí,CJK-A)
㖣	(口立口,KkXlKk,tòu,CJK-A)
㖤	(口{折类}氺凵,KkAeMsJk,hán,CJK-A)
㖥	(口囗禾,KkAkBh,jùn,CJK-A)
㖦	(口束{横类},KkTsDi,dǒng,CJK-A)
㖧	(口氏日,KkZsUr,hūn_wěn,CJK-A)
㖨	(口{录字头}氺,KkWjMs,lù,CJK-A)
㖩	(口耳又,KkVeTy,jū_sǒu,CJK-A)
㖪	(口戈口{横类},KkAgKkDi,huò_guó_xù,CJK-A)
㖫	(口土八夂,KkEtNbJi,líng,CJK-A)
㖬	(口臼又,KkYjTy,0,CJK-A)
㖭	(口{横类}大{恭字底},KkDiIdLx,tiǎn,CJK-A)
㖮	(口侖,KkFl,lún,CJK-A)
㖯	(冂{横类}口匕,JkDiKkWb,0,CJK-A)
㖰	(口匕冂口,KkWbJkKk,0,CJK-A)
㖱	(亠亻{夜下角}口,LwHrFyKk,0,CJK-A)
㖲	(女口口匕,WnKkKkWb,0,CJK-A)
㖳	(氵女口匕,MsWnKkWb,0,CJK-A)
㖴	(口艹勹{横两撇},KkZcAkFs,0,CJK-A)
㖵	(口{具字头无横}{共字底},KkEmNb,gé,CJK-A)
㖶	(口覀土,KkUxEt,yān_yè_yīn,CJK-A)
㖷	(口日{定字底},KkUrEs,shí_tí,CJK-A)
㖸	(口虍{虐字底},KkShWj,xué_niā,CJK-A)
㖹	(口八刀皿,KkNbNdHm,pēn_fèn,CJK-A)
㖺	(口{寿字头}{捺、点类}日,KkJfOdUr,chǔn,CJK-A)
㖻	(口予{撇类}木,KkOvTpYm,niú_ròu,CJK-A)
㖼	(口甘木,KkFgYm,duǒ,CJK-A)
㖽	(口頁,KkWy,zé,CJK-A)
㖾	(吅䒑䶹,PxNbAe,è,CJK-A)
㖿	(口耳阝,KkVeXe,xié_yé,CJK-A)
㗀	(口山幺幺,KkUsDyDy,yōu,CJK-A)
㗁	(口吅二{折类},KkPxNeAe,è,CJK-A)
